DOY2,HR2,FC_1_1_1,H_1_1_1,LE_1_1_1,USTAR_1_1_1,CO2_1_1_1,WS_1_1_1,TA_1_1_1,TA_1_2_1,RH_1_1_1,VPD_1_1_1,WS_1_2_1,PPFD_IN_1_1_2,PPFD_OUT_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,PPFD_IN_1_1_1,PPFD_DIF_1_1_1,NETRAD_1_1_1,PPFD_BC_IN_1_1_1,TS_1_1_1,TS_1_2_1,PA_1_1_1
3,17.75,0.912228779,-8.45079267525,4.86631104225,0.6965692385,409.9593006,2.55542491025,5.659,5.56555,69.229818765,4.8318397805,2.73405,32.34625,6.3295,12.80625,7.61355,20.349,16.192,-12.2175575,9.1546625,1.188375,1.46155,96.2
3,18.25,0.887724267,-9.77286887625,3.47454,0.65246081775,410.5195738,2.3357218345,5.0097,4.93185,69.5687058875,4.44199447275,2.590175,5.31235,1.64515,1.766925,5.8682,1.453,0.4892525,-15.4467,2.1364125,1.1761,1.45475,96.2
3,18.75,0.9666750535,-9.04881,3.4807843865,0.632459956,410.9115069,2.385883,4.526425,4.374375,71.4628447425,4.03299236875,2.4649,2.9537,1.451475,0.5312825,5.8579,1.32315,0.3740125,-16.2162,1.6998625,1.1699,1.4424,96.3
3,19.25,1.017366372,-9.031995056,2.244636328,0.66844321225,410.9838359,2.38984875,4.07585,3.860575,72.15657134,3.766474719,2.601025,2.935875,1.3103,0.696065,5.8668,1.321675,0.375185,-15.9164,1.700875,1.155825,1.43765,96.3
3,19.75,1.00190707825,-7.7650366885,3.167214012,0.666383587,410.9981576,2.37210975,3.610925,3.423375,72.775171255,3.4984745475,2.56425,2.931225,1.328725,0.721695,5.85865,1.32205,0.375915,-15.158265,1.7015375,1.147075,1.41935,96.3
3,20.25,1.049331408,-7.813151099,4.244662058,0.646592,410.9536659,2.40057625,3.2468,3.05825,74.736901885,3.3176425555,2.55595,2.811075,1.2269,0.5461175,5.51015,1.32255,0.371225,-14.879425,1.7014625,1.13275,1.408325,96.4
3,20.75,0.9653442425,-7.09940325525,2.3759,0.647294975,410.92354145,2.337943634,3.08595,2.8804,74.118979615,3.13935807,2.6148,2.512,1.168025,0.55032,5.03345,1.3233,0.3767075,-15.5229075,1.7022,1.122425,1.401475,96.4
3,21.25,1.11550237175,-8.4739757165,2.638434584,0.6563742885,410.759859725,2.357265,2.6606,2.426625,75.6713965425,3.05444902775,2.6049,2.48425,1.214375,0.4788825,5.071,1.3225,0.3779875,-14.909,1.702725,1.11415,1.388875,96.4
3,21.75,0.934583443,-7.700699275,4.0275630315,0.635012075,411.6961114,2.311005,2.4883,2.287875,77.77429833,2.918541514,2.51395,2.5182,1.16095,0.6115675,4.8497,1.3233,0.3795725,-13.753075,1.702275,1.10345,1.3792,96.4
3,22.25,1.12373905,-8.2428932955,3.410095515,0.668986,411.5404898,2.280698,2.332625,2.006725,77.96609865,2.796735891,2.53655,2.4744,1.17565,0.7292875,4.8926,1.3251,0.3779775,-12.74892,1.70225,1.097225,1.37245,96.4
3,22.75,1.087495339,-6.771711657,2.708202498,0.664627571,411.63171585,2.28821707775,2.074375,1.8632,78.77680006,2.705465016,2.672175,2.519225,1.18155,0.6684625,4.89125,1.327825,0.37915,-12.9118775,1.7026875,1.09275,1.364625,96.5
3,23.25,0.9112177705,-6.6291323135,2.0280789995,0.677163923,412.5312717,2.24534425,1.82005,1.548475,80.96012535,2.59039707,2.5898,2.51635,1.25495,0.69166,4.37135,1.32605,0.382335,-12.3307,1.705175,1.084975,1.3566,96.425
3,23.75,0.979052171,-5.3698838635,4.20055760525,0.660836296,412.67168685,2.213503,1.68935,1.3152,82.22756213,2.529555307,2.3449,2.50395,1.233675,0.6920375,4.5842,1.32885,0.38535,-11.2778925,1.7029625,1.0832,1.35075,96.5
4,0.25,1.578701609,-5.73106563025,4.15029408,0.44984915,413.5650327,1.78244,6.138025,5.9247,89.37994305,3.440110712,1.569075,2.25175,1.131425,1.155675,4.489675,1.2997,0.373145,-8.59725,1.69925,5.290425,5.3956,95.8
4,0.75,1.675248079,-7.577792421,2.697978504,0.516583918,413.969,1.89692375,5.861,5.73835,90.8,3.268557282,1.83375,2.248175,1.12275,1.1723,4.0802,1.294225,0.372185,-7.9308,1.6996,5.2215,5.335975,95.9
4,1.25,1.87309168275,-5.1005266325,2.952057808,0.4982137925,414.084088025,1.86234575,5.8301,5.6244,91.99793332,3.19048105,1.79785,2.231,1.1024,1.1413,4.023925,1.296025,0.370785,-7.9077,1.698625,5.176975,5.293975,95.8
