DOY2,HR2,NETRAD,G,LE,H,FC,USTAR,CO2,H2O,T_SONIC,PA,TA_1_1_1,RH_1_1_1,WS_1_1_1,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_OUT,PPFD_IN,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_3_1_1,TS_3_2_1,TS_4_1_1,TS_4_2_1
2,6.75,-116.9158975,-54.9891,-4.502475,-85.58285,-0.1689,0.06705,373.9897,2.4579,-1.45625,86.38855,-2.96515,12.362115,0.41275,-2.4152,0,204.2818,282.3056175,-0.2067,-0.3097775,0.92051,2.6974975,4.32503,6.0001325,7.36659,8.108,1.64749,3.66586,8.31925,8.932,7.2991,9.20025
2,7.25,-110.4630975,-51.4835375,-6.48229,-83.69799,-0.1456875,0.059305,373.9570875,2.5022325,-1.3665,86.4291075,-2.59305,12.5418875,0.43495,0,0,204.185915,282.1947625,0,5.35813,0.933615,2.610885,4.32182,6.0049075,7.37384,8.15675,1.55619,3.579885,8.33475,8.92875,7.2997,9.1925
2,7.75,-99.5415875,-46.3304625,-5.64195,-73.7315625,-0.32723,0.0697,373.60493,2.446315,-1.3107,86.476485,-2.60315,12.41559,0.36425,12.8668875,0,204.3743725,284.2028075,1.257,34.7304725,0.99743,2.53777,4.31004,6.01709,7.36978,8.19948,1.45678,3.48552,8.34575,8.92325,7.298975,9.187
2,8.25,-38.794925,-38.2573875,-0.26496,-42.97376,-1.0722725,0.08302,374.1095975,2.5371,-0.772275,86.480155,-0.9128,11.537235,0.30895,26.621625,7.39525,205.72134,294.58535,10.3139975,66.419,1.03315,2.494,4.27414,5.85641,7.30612,8.5123575,1.36818,3.40192,8.35125,8.91775,7.2988,9.18925
2,8.75,14.9075,-44.490875,1.4620425,-18.1540775,-1.49472,0.07644,374.1893125,2.464625,0.14034,86.49385,-0.403925,9.9739525,0.207565,49.5304,11.0725,208.2269375,309.57005,16.47534,115.09405,0.9812,2.40865,4.21894,5.96379,7.3429,8.5568625,1.35038,3.3223,8.3645,8.92,7.294325,9.18375
2,9.25,40.324255,-37.585,3.942975,-6.63249,-2.5683,0.07115,373.93597,2.5807,0.5461,86.4862,0.039,9.6453,0.20185,71.1423925,9.8282525,210.80256,313.0810975,18.268925,143.1331,0.9232,2.29562,4.11694,5.88509,7.32239,8.560375,1.33858,3.188,8.37225,8.9145,7.292375,9.17825
2,9.75,57.14869,-21.5485,8.97655,-1.005275,-2.271,0.074125,373.70973,2.59014,0.9217,86.54365,0.7944,9.47088,0.36985,110.3146625,15.9935075,211.7046175,315.1849225,28.9149525,226.24987,0.812,2.23934,3.99594,5.82551,7.2818,8.560375,1.31828,3.0444,8.3745,8.91675,7.2839,9.17275
2,10.25,76.554275,-15.7062625,9.37932,7.824565,-2.84354,0.093015,373.48423,2.46313,1.0397425,86.5427825,1.41395,8.8427225,0.3130425,146.978225,21.4864,213.58725,318.06235,38.4865,286.8466,0.7848,2.206615,3.87466,5.7847775,7.2241925,8.560375,1.548925,2.936175,8.3635,8.92675,7.277975,9.16725
2,10.75,85.8519625,-15.73504,7.6074525,9.6864225,-2.8461,0.09351,373.438765,2.42536,1.447335,86.5177725,1.722975,8.67251,0.4679725,126.807885,18.988175,215.81246,319.97914,37.1894225,255.233265,0.85248,2.3275475,3.780935,5.7110025,7.2063325,8.560375,1.77256,2.902105,8.368,8.93225,7.27105,9.1695
2,11.25,73.6734025,-18.359,12.83536,8.96304,-2.843145,0.0853625,373.7075625,2.360925,2.1723825,86.5097175,2.26165,8.2595875,0.525175,121.125,20.0740175,217.1896375,320.4154125,37.56996,255.029375,1.09999,2.485575,3.73126,5.6884525,7.185485,8.560375,2.571285,2.927675,8.3625,8.93775,7.261375,9.164
