DOY2,HR2,USTAR,TA_1_1_1,WS,FC,H,LE,RH,CO2,VPD,NETRAD,PPFD_IN,SW_IN,PPFD_OUT,SW_OUT,H2O_1_1_1
7,3.25,0.36475,17.43575,2.3475,2.686,-6.202,2.78825,91.17675,390.98425,4.5525,-17.17625,2.8825,-1.292,0.049,0.055,14.835
7,3.75,0.3585,16.91975,2.3215,2.702,-5.869,2.591,92.0705,393.50425,4.3925,-16.50775,4.61275,-0.88725,0.131,0.1525,14.683
7,4.25,0.342,16.62425,2.21475,2.465,-4.94475,1.68225,91.842,396.09125,4.16,-13.37475,17.24275,4.151,0.727,1.11525,14.74175
7,4.75,0.355,16.608,2.19,2.2975,-6.96425,4.09375,92.46375,397.718,3.9625,-5.5245,55.40075,23.063,2.91775,4.07225,14.82075
7,5.25,0.38375,16.5295,2.279,1.565,-4.46325,7.02475,92.069,397.281,3.81,5.8275,129.51675,56.9715,7.777,9.9425,14.905
7,5.75,0.38825,16.98475,2.3405,1.34125,-1.63275,9.911,91.42125,395.74425,4.055,32.04125,247.86175,109.934,14.371,17.438,14.83875
7,6.25,0.4005,17.418,2.47775,0.483,3.92275,17.12025,90.16925,394.37925,4.3825,70.58775,410.3025,179.4905,22.686,28.245,15.48275
7,6.75,0.4355,18.12825,2.398,-0.4845,18.9825,32.42375,88.228,388.6345,4.9825,118.34475,588.94075,251.66975,29.76425,36.87075,15.6795
7,7.25,0.45775,18.955,2.4055,-1.2595,42.14025,49.0665,86.315,383.95125,6.155,170.527,759.42525,324.97875,37.4,44.92125,15.53225
7,7.75,0.5105,19.93875,2.838,-2.253,66.5965,70.305,84.12625,380.285,7.34,221.43475,930.34175,400.7275,43.25975,54.318,15.5945
7,8.25,0.5225,21.20325,2.8185,-3.416,93.7655,91.2945,82.30775,377.1345,8.9075,283.1405,1125.9075,476.6605,51.73625,64.017,15.657
7,8.75,0.54475,22.118,2.8015,-3.7275,123.3965,105.80925,80.35625,375.054,10.59,345.1185,1293.076,551.19875,58.6475,73.94275,15.64425
7,9.25,0.57,23.02425,3.021,-4.1515,132.12475,123.707,76.44,372.7465,12.6125,391.29625,1439.55675,608.37975,64.40225,81.03375,15.5685
7,9.75,0.56825,23.92475,2.9275,-4.56125,160.286,126.3135,74.344,371.03775,14.695,432.3855,1552.47075,663.06675,70.393,88.9835,15.30075
7,10.25,0.61625,24.6265,3.26125,-4.96575,175.936,139.1165,70.7825,369.93,16.7975,475.80025,1634.9425,705.71675,75.01875,93.40175,14.94175
7,10.75,0.635,25.72875,3.5385,-5.1585,206.055,150.7755,68.85375,368.6485,18.3775,516.30775,1735.82575,747.14925,79.676,95.58425,14.72325
7,11.25,0.64675,26.191,3.52975,-4.55075,215.99275,154.552,65.91025,368.2265,19.2575,550.78225,1828.599,787.4875,82.7275,98.94575,14.559
7,11.75,0.64775,26.7085,3.4745,-4.532,223.87425,164.4645,63.62425,367.74325,20.2225,567.15225,1824.71975,787.434,84.4565,99.06325,14.4695
