DOY2,HR2,CO2,FC,SC,G_1_1_1,H,LE,SH,SLE,PA_1_1_1,RH_1_1_1,TA_1_1_1,VPD_1_1_1,NETRAD_1_1_1,PPFD_IN_1_1_1,TS_1_1_1,USTAR,WS_1_1_1
2,15.75,414.6270142,0.1146635005,-0.007685,-2.739208937,16.636500355,0.538617015,1.895085037,0.1106204985,97.652297975,79.304172515,-16.18331909,0.389145106,-17.67931461,211.90000155,-2.826354265,0.265973985,1.8488110305
2,16.25,415.1660004,0.124964498,-0.00686,-2.741415024,14.51999998,0.596924007,1.2945999505,0.2265909985,97.648204805,82.26210022,-16.29454994,0.300684959,-9.318380356,157.25,-2.826354265,0.252214998,1.763915479
2,16.75,415.6069946,0.142593503,0.00453,-2.7077839375,9.868260384,0.52452898,0.8632820245,0.1427949965,97.665195465,84.08469391,-16.64330864,0.2780526875,-7.0351383685,90.40000153,-2.826354265,0.253661007,1.643961549
2,17.25,415.83050535,0.1319480015,0.00201,-2.663161993,8.530790329,0.575782001,0.220093995,0.171129003,97.65969849,82.79215622,-16.921780585,0.266979739,-6.140395164,36.40999985,-2.759437084,0.258174494,1.517658949
2,17.75,415.6929932,0.134951003,-0.0019,-2.719012022,5.4113049505,-0.332689002,-0.0592,0.101447999,97.66580963,83.880054475,-17.22170639,0.265034437,-3.759669065,9.340000153,-2.762254,0.217951998,1.446532011
2,18.25,415.8025055,0.094599999,0.003685,-2.6224784855,1.742935002,-0.325325504,-0.965545505,0.038250001,97.67009735,87.85961914,-18.13171482,0.178582847,-2.899039507,0.5195000175,-2.795209646,0.2223109975,1.44937402
2,18.75,416.25,0.102838002,0.0055,-2.659152985,-4.584599972,-0.422547013,-1.542355001,0.090500001,97.66898346,87.408611295,-18.34176064,0.1908067835,-3.697148085,0.086000003,-2.959754944,0.207139,1.30666995
2,19.25,415.04499815,0.101997003,0.00269,-2.674773932,-7.141010046,-0.186127007,-1.295154989,0.110394001,97.64232635,89.08940125,-18.54888916,0.168138057,-4.113317013,0.064000003,-2.957449913,0.1875329985,1.423411012
2,19.75,415.375,0.102384999,0.00382,-2.685519934,-5.741580009,-0.2390760035,-1.558009982,0.0557,97.6142807,87.22512436,-18.90574074,0.190096855,-3.858501911,0.064000003,-2.954447985,0.128647,1.444728017
2,20.25,415.2070007,0.108539,0.001355,-2.585895061,-6.988440037,-0.0634,-1.966769993,0.006215,97.60957336,89.13690186,-19.28882027,0.182724506,-3.729165077,0.068000004,-2.826354265,0.140816003,1.536700964
2,20.75,415.6100006,0.1060064995,0.0055,-2.618337989,-4.252389908,-0.0832999985,-1.572639942,-0.0495,97.62517166,85.56943512,-19.79229927,0.204175711,-5.473680973,0.068999998,-2.826354265,0.123179503,1.34363848
2,21.25,415.7904968,0.184632003,0.00355,-2.555114985,-6.149040222,-0.0832,-1.479930043,-0.094599999,97.63796234,82.306354525,-19.537531855,0.206873849,-5.261465073,0.071000002,-2.686408043,0.1315575015,1.48129797
2,21.75,416.0734863,0.113121003,0.00443,-2.527812004,-3.831979871,-0.105311997,-1.325029969,-0.065499999,97.67166901,81.47253418,-19.54153061,0.202527344,-5.54796505,0.07,-2.668956041,0.135001503,1.564659953
2,22.25,415.9869995,0.168308005,0.0134,-2.5237699745,-3.599090099,-0.061299998,-1.1284099815,-0.071800001,97.64496994,79.34350586,-19.56321907,0.20250608,-4.4025726315,0.075000003,-2.665757895,0.114799,1.443884492
2,22.75,417.5639954,0.154012002,0.00747,-2.507450104,-3.108229995,0.1050700025,-0.777767003,-0.080200002,97.64919281,80.40802002,-20.19578934,0.200673044,-4.60380888,0.074000001,-2.6407448055,0.138935,1.575621963
2,23.25,418.7250061,0.1439125015,0.00597,-2.494486094,-6.2427999975,-0.0383,-0.939472973,-0.087200001,97.62055206,81.24250793,-20.36073017,0.1981701925,-3.797549963,0.071000002,-2.6146243815,0.1447685065,1.459797978
2,23.75,420.6159973,0.142201006,-0.000608,-2.4767864945,-6.559189796,-0.087300003,-0.6572349965,-0.099299997,97.639923095,80.20039749,-19.6407299,0.2044427095,-4.4379439355,0.0714999995,-2.6019140485,0.1026920005,1.601474464
