DOY2,HR2,USTAR,TA,WS,H,LE,RH,PA,CO2,H2O,CH4,PPFD_IN,FC,SC,NEE,TS_1_1_1,FCH4
11,9.25,0.25733,2.6917,1.1175,18.0855,20.2865,56.282,99.109025,395.47,5.309975,2086.35,122.27,-0.71743,-2.1708,-2.6461,8.567125,4.2844
11,9.75,0.31597,3.4518,1.3186,29.247,23.3325,53.528,99.10902,394.3325,5.243425,2078.8,197.03,-0.65164,-1.96435,-1.706075,8.547625,2.471175
11,10.25,0.344225,4.066525,1.3062,44.345,25.40075,49.0435,99.0902775,393.84,5.1061,2071.7,263.45,-0.99541,-1.6283,-2.537125,8.53535,6.0274
11,10.75,0.3627875,4.6076,1.38145,51.81075,26.299,47.73,99.0684325,393.5875,5.143225,2057.75,293.29,-0.821775,-1.4673,-1.7033,8.54725,8.626575
11,11.25,0.362945,5.367975,1.490875,54.06775,27.956,46.47775,99.03786,393.2,5.05115,2047.475,297.22,-1.01305,-1.216,-1.496175,8.5572,8.72385
11,11.75,0.396045,6.0595,1.542375,54.892,29.639,45.1795,99.013355,392.2775,5.00805,2039.075,300.59,-1.6054,-0.79628,-1.9359,8.568475,10.44
11,12.25,0.39499,6.4563,1.6391,50.416,28.042,43.018,98.99485,391.81,5.08405,2031.725,280.05,-1.0006,-0.83398,-1.7597,8.590525,6.707875
11,12.75,0.389075,6.7252,1.613975,55.38,31.36,41.33,98.9716775,391.04,5.0708,2032.3,314.645,-1.4132,-0.81042,-2.0715,8.61505,10.003
11,13.25,0.4259525,7.05245,1.668525,48.035,26.85525,40.1485,98.946365,390.85,4.9717,2017,304.45,-1.2615,-0.6131,-1.4687,8.637875,6.8353
11,13.75,0.42158,7.293,1.6489,46.21125,27.919,38.86025,98.9381425,390.3,4.95925,2026.8,244.2925,-0.896185,-0.4400675,-1.043025,8.7009,7.70245
11,14.25,0.407325,7.280075,1.6046,36.34225,24.2755,38.1905,98.94866,390.54,4.9445,2023.35,216.0625,-0.797935,-0.37447,-1.1599,8.766,5.07475
11,14.75,0.38451,7.374425,1.5689,25.031,21.98925,36.99725,98.936515,390.87,4.977625,2026.3,170.29,-0.68224,-0.30067,-0.79224,8.8019,7.871575
11,15.25,0.36585,7.467575,1.5534,13.76675,19.9355,37.64375,98.9180675,390.5825,4.962225,2023.275,120.8875,-0.1892125,-0.11619,-0.15394,8.8727,4.6959
