DOY2,HR2,FC,LE,H,SW_IN,TA,TS_1,RH,USTAR,PA,SW_OUT,NETRAD,PPFD_IN,PPFD_OUT,TS_2,WS,G_1,G_2,G_3,G_4,SG_1,SG_2,CO2,VPD,TS_3
7,6.75,-3.9836825,17.577,1.61284,88.8,12.995,3.46975,66.09,0.11531366525,99.1,7.9785,34.2025,184.948,6.11967,4.05675,0.624345,3.9305,3.34875,6.1265,9.35,3.452355609,1.34906097525,394.85,1.80095,6.16825
7,7.25,-4.80615,25.105847335,7.308775,105.9,13.495,3.485,63.365,0.13866,99.1,10.045,53.87,238.74,7.95331,4.036,0.759,4.006,3.4295,6.2685,9.435,4.0837844525,2.967073101,390.3,2.039425,6.55425
7,7.75,-5.6629880875,35.050475,18.115,164.3,13.945,3.536,60.465,0.150381,99.1,12.585,76.1,298.585,9.720575,4.0265,0.8906075,4.102,3.708,6.647,10.13,4.799794506,4.8912317235,388.3,2.652425,6.98825
7,8.25,-6.52652772475,44.39,27.95035842,190.6,14.3925,3.60475,57.88,0.169393165,99.1,15.995,95.4,336.615,12.181975,4.01425,1.0161775,4.188,3.9005,7.08075,11.1425,5.46307079675,7.38000093875,385.85,3.0036,7.3725
7,8.75,-7.1581211165,54.225,41.12475,224.85,14.725,3.68725,54.6225,0.187431,99.1,17.105,114.6,395.392,14.267425,4.06475,1.1082625,4.39725,4.15125,7.66175,12.0575,5.97204866475,9.47112686225,384.4,2.874175,8.0575
7,9.25,-7.8306152985,64.2806,48.64585,249.2,15.2425,3.78525,52.1425,0.197849,99.1,21.46,135.325,442.05625,16.473225,4.1,1.17816,4.5625,4.51875,8.155,13.3725,6.48082042475,11.1512532175,384.4,3.13255,8.645
7,9.75,-8.42781839325,76.98185,59.1976151825,265.7,15.6525,3.882,49.225,0.2192138695,99.1,22.87,144.9,483.46,17.46805,4.14625,1.2296,4.71125,4.78325,8.705,14.77,7.06516335,12.669,382,3.35445,9.1625
7,10.25,-8.5024389395,82.834625,69.4879,310.75,16.1225,4.00475,47.245,0.232197,99.1,25.69,177.7,557.3325,20.2726,4.23075,1.30518,4.844,5.111,9.45,16.04,7.6013,14.165,380.675,3.440025,9.7875
7,10.75,-8.745656184,89.6023,72.42525,333.2,16.3875,4.104,44.65,0.242125,99.1,29.365,199.25,572.5015,22.50315,4.3595,1.39018,4.945,5.545,10.035,17.59,8.106194045,16.03289859,379.275,3.79795,10.35
7,11.25,-8.7219625,96.0409,78.0045,355.5,16.74,4.23,43.11,0.24341841525,99.1,30.57,215.2,615.2505,24.2906,4.462,1.4844,5.067,5.91,11.04,19.1,8.50092179,17.78864302,378.4,4.15075,10.88
7,11.75,-8.761237425,90.560833315,79.58095,367.75,17.15,4.346,41.06,0.24819934525,99.1,30.94,225.8,607.0675,24.83575,4.5495,1.49531,5.139,6.2415,11.915,20.675,9.0841305215,19.70968476,377.225,4.82705,11.465
7,12.25,-8.71740536825,103.37175,87.99265,411.225,17.49,4.514,39.14,0.266145,99.1,31.76,247.35,682.197,26.6916,4.639,1.547745,5.34325,6.58375,12.895,22.73,9.5754050785,21.29919809,376.75,5.08465,11.925
