DOY2,HR2,PPFD_IN_1_1_1,PPFD_OUT_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,NETRAD_1_1_1,TA_1_1_1,RH_1_1_1,CO2_1_1_1,H2O_1_1_1,WS_1_1_1,USTAR_1_1_1,TS_1_1_1,G_1_1_1,G_1_1_2,G_1_1_3,PA_1_1_1,FC_1_1_1,SC_1_1_1,LE_1_1_1,SLE_1_1_1,H_1_1_1,SH_1_1_1,NEE
2,8.75,326.960494,26,174.6404585,22,272,309,111,-0.81,75.2,407.502763,4.1443105,2.78,0.4384205,2.192571,-7,-7.0188395,-6,98.88272,0.408998,-0.19961,9,1.3449745,29.2455665,0.0500445,0.372443
2,9.25,453.8736626,33.98508929,244.755948,31,273,312,173.3639939,-0.568204,71.7,407.022012,4.1549245,2.852226,0.4924835,2.213643,-6.879036,-7.014992,-6,98.894425,0,-0.236207,13,0.851272,57.894859,0.027882,0.303461
2,9.75,575.5465021,41,307,38.82631152,274.8658846,315.169117,226.6203262,-0.071333,68.090935,406.4071025,4.246932,2.8809615,0.522294,2.2340015,-6.301218,-7,-6,98.886455,-0.229136,-0.26371,15.963049,0.787187,87.524858,-0.0050855,0.229062
2,10.25,686.6080247,46.205022,366.684325,45,277.139728,318.9045413,275.4988611,0.505567,65.155,404.412452,4.332914,2.907162,0.512926,2.3226,-6,-6.202477,-5.6462385,98.89501,-0.4373185,-0.22718,18.764647,0.918504,124.3449635,-0.007068,0.248165
2,10.75,769.0771605,52,423.7196406,50.719317,280.0670036,322.477359,314.527951,1.06,62.07,404.0910885,4.2633105,3.0318725,0.5376395,2.375,-5,-6,-5.161987,98.885585,-0.435952,-0.2425385,21.5691735,0.390219,142.982206,-0.0440145,0.19856
2,11.25,897.680864,56,489.027323,55.4072901,281,325.102342,366.395178,1.567434,59.54,402.9323785,4.2152115,3.062009,0.5401095,2.4893845,-4.753433,-5.5,-5,98.8620675,-0.793706,-0.210244,23.3889275,0.242686,169.928698,-0.1094835,0.2993355
2,11.75,929.763786,60,499.41834,56.876827,282,328.318893,381.846324,2.18,57.79,402.8539465,4.2526695,3.0857575,0.560431,2.6152625,-4.238462,-5.117404,-5,98.8289175,-0.727107,-0.186434,25.686209,-0.2091615,177.9488645,-0.204578,0.267609
2,12.25,925.9196,60.02375,509.3422553,56.409624,283.8177615,329.7267043,393.698374,2.39,54.86049,402.188927,4.265986,3.2505805,0.582495,2.7246835,-4,-5,-5,98.8,-0.7258695,-0.183347,24,0.073854,188.7040245,-0.368388,0.170251
2,12.75,886.4051,58,491.4809789,55.01297047,283.1963914,332.1172371,366.3026345,2.735202,53.735945,402.8194755,4.2348305,3.31,0.620943,2.7915075,-3.5,-5,-4.964078,98.759045,-0.954329,-0.133514,25.6320525,0.1138625,198.006269,-0.327824,0.258236
2,13.25,878.866255,56.444643,479.060533,54.307638,283,332.1868677,355.8541829,2.946876,52.739435,402.7976305,4.1583985,3.401333,0.6179865,2.896712,-2.5,-4.6230635,-4.787543,98.72584,-0.882202,-0.1097895,25.741814,0.073442,185.721228,-0.187214,0.155272
