DOY2,HR2,FC,LE,H,SW_IN,TA,TS_1,RH,USTAR,PA,SW_OUT,NETRAD,PPFD_OUT,TS_2,WS,G_1,G_2,G_3,G_4,SG_1,SG_2,CO2,LW_IN,LW_OUT,VPD
2,10.25,0.358883,0.44874,-2.64427829,32.8511,-15.7702,-0.222217,71.8946,0.113296,99.763,24.437,7.47886,79.1748,-0.293082,0.643033,-5.8815,-5.8257,-5.52974,-4.15908,-2.665935,-5.01717,415.86,222.78,237.455,0.24823
2,10.75,0.2948285,0.910998,-1.8349,54.98765,-14.9139,-0.1952515,70.1481,0.12955,99.7479,37.68865,14.97995,117.995,-0.284867,0.770755,-5.71657,-5.724,-5.5613,-4.136755,-2.68895,-4.9818975,414.9784,228.865,240.76,0.3532
2,11.25,0.2610285425,0.788819,-0.9834655,78.4,-13.44425,-0.1835495,68.2591,0.139334336,99.7831,51.0481,24.206,159.027,-0.2692885,0.953506,-5.48892,-5.50703,-5.57947,-4.13241,-2.6920875,-4.9969825,414.12,229.24,245.125,0.45965
2,11.75,0.260230519,1.06285,-1.7047,90.9928,-12.60715,-0.1482265,67.28995,0.1424285,99.8049,59.3863,29.296,190.229,-0.238128,1.00955,-5.765715,-5.6538,-5.57555,-4.121845,-2.688835,-4.950055,414.141,235.115,251.85,0.62361
2,12.25,0.201468983,1.290563721,-1.066266316,102.367,-12.3581,-0.0927121,65.66,0.150005,99.7684,69.615,29.5492,220.639,-0.181421,1.06644,-5.76472,-5.77798,-5.60313,-4.11884,-2.6792325,-4.962555,414.05,238.595,252.37,0.707955
2,12.75,0.1905615,1.81303,0.4084555,110.5175,-11.9398,-0.0687272,64.1082,0.1519295,99.7477,74.163,28.5179,233.075,-0.179786,1.10149,-5.589445,-5.5835,-5.60725,-4.10724,-2.6700575,-4.93845,413.86105,237.59,255.95,0.898475
2,13.25,0.221879141,1.59835,0.465851,113.317,-11.432,-0.09003615,62.828,0.1565205,99.782,74.7973,31.1425,232.873,-0.185291,1.173775,-5.638235,-5.5565,-5.61956,-4.10538,-2.6706275,-4.899315,413.6804,238.64,259.105,0.91225
2,13.75,0.177296,1.5851303355,0.156987542,111.063,-11.0838,-0.112946,62.5171,0.156946,99.7878,73.5,28.2577,230.002,-0.1723,1.23363,-5.859835,-5.6536,-5.63414,-4.10886,-2.669985,-4.91963,413.13505,240.235,259.365,1.0217
2,14.25,0.1574035,1.832965,0.437865,102.632,-10.9104,-0.11173,61.94725,0.160138,99.7846,67.5123,23.0966,207.348,-0.165288,1.17895,-6.269075,-5.87599,-5.64352,-4.114685,-2.66754,-4.9062,412.965,239.09,262.085,1.02245
2,14.75,0.1999754775,0.98411,-1.3492801435,83.229,-10.7401,-0.0780614,62.308,0.14656584,99.7476,57.1556,17.5848,177.8055,-0.1664925,1.1338,-6.296005,-6.0288,-5.659275,-4.121415,-2.6731725,-4.957361763,412.5808,239.57,261.58,1.0287
