DOY2,HR2,H,LE,WS,USTAR,VPD,SW_IN,NEE,FC,CO2,SW_OUT,LW_IN,LW_OUT,NETRAD,TA,RH,H2O,CH4,FCH4,SC,SLE,SH,SCH4,PA
2,6.75,-3.91,-0.2577108,0.354989186,0.097603425,0.1869114,0,0.2341599,0.1863049,434.2695,0.62613885,242.2893,249.5727,-7.57614,-15.403835,84.68,1.0169615,2077.864,2.6365385,0.0039793445,-0.006714645,-0.11475358,0.034163945,96.0537
2,7.25,-4.051373,-1.284084,0.3654311,0.09395,0.1965425,0,0.096775335,0.066581965,435.3073,10.309915,236.5381,249.8818,-3.039542,-15.21567,84.68666,1.0342425,2074.75,3.306515,0.02633164,0.0147141235,0.06810559,0.07343716,96.06417
2,7.75,-4.650105,-0.53073975,0.3789958035,0.09658267,0.2396191,55.296315,-0.11501511,-0.2712938,436.3761,42.868955,236.56185,250.8406,6.455833,-14.477665,83.243335,1.09577,2083.091,3.870509,0.0260103,0.1690503,0.9919496,0.04251301,96.08413
2,8.25,-2.22,1.0987025,0.6455362,0.140587701,0.2795969,88.2385,-0.44995715,-0.5496074,434.3858,83.76424,237.145,255.3072,8.923666,-13.24033,82.36667,1.14293,2067.3665,2.491758,0.000524406,0.2477372,1.238635,0.03824228,96.03227
2,8.75,1.636996,2.893595,0.83340667,0.173699699,0.3464503,137.8262,-0.83844,-0.8241511,432.06675,128.3627,236.4287,261.2197,15.23557,-11.83017,80.81199,1.242395,2072.343,4.785363,-0.01936178,0.17423865,0.9419385,-0.16092725,96.02957
2,9.25,5.995663,3.299693,1.06306169,0.183510525,0.41822275,182.0081,-0.81502275,-0.8114067,432.15365,180.9988,230.28215,266.18905,17.03475,-10.898835,79.073995,1.3026785,2066.08,3.051966,-0.01186694,0.07838432,1.02898,-0.1640737,96.00603
2,9.75,8.414447,3.93517,1.118390715,0.20799795,0.5262732,254.17065,-1.010041,-1.03,431.643,230.09945,229.9324,269.88595,25.17192,-9.456016,75.84383,1.380513,2062.569,3.243927,0.002253918,0.10148495,1.0566385,-0.02857899,95.929
2,10.25,14.26588,7.13975,1.286221,0.22061695,0.6778361,291.6901,-1.169817435,-1.169629,431.3421,288.6897,221.86475,274.00435,33.744935,-8.213441,71.236725,1.442369,2059.894,2.5516465,-0.001412028,0.03825066,1.259825,0.0088818075,95.90717
2,10.75,16.472555,6.946325,1.185970076,0.2414104,0.7686019,351.60945,-1.266864,-1.2211485,430.6011,328.53705,220.0803,279.49345,46.160045,-7.8931725,67.276465,1.4347975,2058.3055,2.607591,-0.0023803575,0.017444135,0.7849061,-0.06446802,95.900785
2,11.25,18.50355,8.863398,1.261888,0.2563086,0.86701,415.595,-0.94944325,-0.9351484,429.91675,341.3641,220.782,285.2876,60.09604,-7.156897,64.07207,1.518904,2058.444,1.905621,-0.002027481,0.07407137,0.88963615,-0.00449778,95.88136
2,11.75,19.26995,11.92,1.18616,0.245215,0.91239685,467.4792,-1.253649,-1.26,429.2009,351.5212,224.6658,288.1513,70.96944,-6.410767,62.00134,1.606458,2056.105,2.6785945,-0.0194558,0.04856368,0.69095415,-0.05367471,95.8673
2,12.25,20.74576,12.87724,1.321824331,0.2470375,0.96882595,453.493,-1.231562,-1.219581,429.1631,343.772,222.7526,288.0784,76.11609,-6.376132,60.15099,1.603667,2059.97,2.9001685,-0.006003853,0.0188707,0.4432229,-0.086556275,95.82465
