DOY2,HR2,TA,USTAR,WS,FC,H,LE,CO2,H2O,PA,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,RH,TS
3,12.25,2.533000017,0.36500001,1.567,-1.603,55.8425005,18.322001,413.942234,4.583365529,95.524570465,166.183335025,209.91666585,25.62083342,265.74166415,338.9833342,31.310000415,2.92675000025
3,12.75,2.90920833775,0.4339999925,1.689999925,-1.83075,49.5667485,24.2915,413.18892445,4.6650183165,95.497989655,163.7916667,211.4699933,24.883332835,270.083332525,336.850005025,29.4825002475,2.99666666675
3,13.25,3.112250025,0.3955,1.739,-1.5385,56.538,19.5850005,413.2544617,4.910521895,95.4872016925,160.7250031,217.250000025,24.7425004175,267.699990825,338.016675825,27.8041669175,3.04875
3,13.75,3.24024995425,0.38999999,1.789,-1.32275,60.465,19.6815005,412.5840907,4.782404035,95.518245695,142.2416609,191.375000825,24.49249992,269.650005,340.5250017,27.913333335,3.16083333325
3,14.25,3.40762502975,0.3987499925,1.7675,-1.53799995,50.485,16.959,412.832070175,4.81966162575,95.50965881,149.5583333,198.866665825,27.2199997475,269.558333325,338.983337525,27.3891664175,3.31250000025
3,14.75,3.51958336275,0.434499995,1.7205,-1.245,47.86850075,14.507,412.5319384,4.824157111,95.5165176375,117.874999225,157.0750033,19.869166585,267.9499917,337.683332475,27.246666665,3.43125000025
3,15.25,3.4095833005,0.3977500075,1.7715,-0.81800002,35.206,13.561,412.4280916,4.8243091405,95.536878585,88.4500001675,135.3499975,16.83833367,269.649999175,336.725008325,27.1999997475,3.5
3,15.75,3.289624967,0.403,1.896,-1.06075,28.42450075,12.75275,412.777783325,4.8937851475,95.550670625,73.56750125,108.1458313,13.4999999975,269.58333415,334.1583258,27.1124994175,3.5
3,16.25,3.3299166215,0.3745,1.6725,-0.6455,18.88425,12.1045,412.8131062,4.883451051,95.558822635,48.62000033,81.256668,10.3800001,266.8333367,333.20001,27.589999835,3.64875000025
3,16.75,2.8663334,0.3625,1.81175,-0.71325,11.2345,9.35200025,412.85551705,4.88606076575,95.5711593625,23.53333333,61.05000067,7.825333233,264.79999,328.6666767,28.43583425,3.715
3,17.25,2.641666625,0.30375001,1.6175,-0.167,2.201250025,3.5899999,412.78490525,4.7605810875,95.58599472,-10.80566667,32.099998,4.834,261.8666567,326.2999967,29.179167165,3.80333333325
3,17.75,2.36670837975,0.287000005,1.558,-0.354,-6.706,2.605,412.862184925,4.81974106925,95.600322725,-65.01500175,6.2042502525,1.9668333685,259.074990825,323.6666708,29.871666665,3.8408333335
