DOY2,HR2,CO2,H2O,FC,SC,G,H,LE,WS,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,TS_2_1_1,TS_3_1_1,PPFD_IN,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT
8,6.25,451.604,24.9025,4,0.29,0.186,-12.487,-1.7585,1.5575,0.2445,0.511,0.4,0.263,100.6675,96.8,22.015,0.7685,24.5235,0.153,24.205,24.04,23.99,2.587,-36.814,-0.209,1.134,405.026,435.978
8,6.75,454.683,24.9055,3.937,0.29,0.105,-11.112,-1.4925,1.579,0.243,0.507,0.399,0.265,100.687,96.8,22.015,0.7685,24.488,0.1475,24.205,24.04,23.99,26.1585,-20.296,10.4275,4.457,406.372,435.688
8,7.25,456.5005,24.991,3.303,-2.544,0.061,-3.535,0.842,1.459,0.2575,0.527,0.406,0.279,100.7155,93.3,22.41,1.728,24.5625,0.146,24.15,23.965,23.935,147.832,14.899,70.129,15.649,406.359,437.277
8,7.75,453.1745,25.331,3.0235,-2.544,0.013,13.617,10.626,1.464,0.294,0.583,0.455,0.311,100.7405,93.3,22.41,1.728,24.911,0.2415,24.15,23.965,23.935,277.917,77.709,141.842,25.331,408.549,440.657
8,8.25,450.0505,25.8255,1.789,-4.401,-0.03,44.4945,37.1025,1.4725,0.3565,0.698,0.506,0.371,100.7505,84.75,23.73,4.6855,25.5065,0.3555,24.11,23.92,23.87,518.345,160.104,253.0895,33.529,411.726,444.474
8,8.75,438.4885,26.1875,0.068,-4.401,-0.048,72.274,69.5115,1.527,0.3905,0.758,0.555,0.401,100.769,84.75,23.73,4.6855,26.377,0.387,24.11,23.92,23.87,678.578,245.109,339.112,45.008,417.21,450.818
8,9.25,425.536,26.671,-2.43,-2.733,0.027,87.015,114.641,1.6045,0.4035,0.818,0.612,0.4185,100.7745,77.605,26.21,7.9515,27.3845,0.411,24.08,23.855,23.855,924.9505,351.554,469.894,52.979,421.664,458.442
8,9.75,415.3975,26.804,-8.359,-2.733,0.1615,114.992,162.056,1.625,0.437,0.852,0.688,0.4285,100.793,77.605,26.21,7.9515,28.187,0.452,24.08,23.855,23.855,1061.7235,445.5905,536.7,60.159,423.4285,464.657
8,10.25,408.5975,26.877,-11.5675,-1.379,0.388,135.4915,203.147,1.676,0.4565,0.893,0.752,0.47,100.8,71.015,27.855,10.993,28.9935,0.4925,24.1,23.845,23.86,1312.116,539.5025,666.0525,68.2405,426.4485,470.1985
8,10.75,402.843,26.8235,-12.687,-1.379,0.7425,151.01,226.933,1.663,0.4575,0.9,0.787,0.486,100.789,71.015,27.855,10.993,29.5965,0.523,24.1,23.845,23.86,1407.247,610.09,724.9415,74.282,431.397,475.404
8,11.25,399.014,26.5545,-12.6155,-0.937,1.063,162.6675,253.109,1.709,0.467,0.913,0.872,0.4985,100.79,67.025,29.15,13.299,30.1115,0.5255,24.13,23.85,23.91,1568.6215,659.0395,819.1,79.6465,434.7045,479.6125
8,11.75,396.4475,26.547,-12.242,-0.937,1.569,175.216,258.51,1.7415,0.481,0.975,0.878,0.512,100.783,67.025,29.15,13.299,30.609,0.5895,24.13,23.85,23.91,1604.58,697.4555,830.3325,86.183,437.1615,482.801
8,12.25,394.541,26.333,-13.044,-0.438,1.951,169.3665,283.398,1.804,0.4755,1.056,0.902,0.524,100.759,61.9,30.29,16.316,31.0695,0.5935,24.2,23.96,24.04,1695.278,728.9235,869.8615,100.105,439.5725,486.4995
8,12.75,392.059,26.164,-13.5165,-0.438,2.3875,182.057,285.0885,1.789,0.4765,1.046,0.901,0.534,100.736,61.9,30.29,16.316,31.5645,0.586,24.2,23.96,24.04,1633.589,712.555,859.0685,105.4075,441.703,488.868
