DOY2,HR2,FC,LE,H,CO2,PA,TA,RH,PPFD_IN,SW_IN,NETRAD,TS_1_1_1,TS_1_2_1,USTAR,WS,NEE
4,18.75,0.473,8.4105,-24.308,383.176,89.822,7.2255,64.1305,14.807,0,-45.0745,9.7745,10.021,0.3635,2.0395,1.2235
4,19.25,0.992,4.858,-27.06,383.118,89.827,6.44,65.4075,0,0,-47.9835,8.78,9.876,0.313,1.818,1.539
4,19.75,1.122,2.028,-23.05,383.792,89.829,5.7585,67.7335,0,0,-43.5005,7.8535,9.735,0.2875,1.633,1.486
4,20.25,1.284,2.684,-25.4445,384.5055,89.8255,5.4975,69.6825,0,0,-47.2415,7.265,9.6595,0.289,1.556,1.5275
4,20.75,1.155,1.8945,-21.566,385.141,89.8295,5.211,71.818,0,0,-45.865,6.5805,9.5085,0.249,1.52,1.3845
4,21.25,1.05,0.827,-18.783,385.9525,89.8345,4.83,71.4515,0,0,-43.324,6.224,9.426,0.189,1.284,1.4215
4,21.75,1.0005,0.5915,-16.392,386.069,89.826,4.544,73.1095,0,0,-41.865,5.8415,9.2665,0.154,1.151,1.441
4,22.25,0.839,0.628,-10.771,386.583,89.813,3.884,73.4695,0,0,-41.58,5.4355,9.1475,0.1325,1.1495,1.3515
4,22.75,0.874,0.576,-11.724,386.728,89.799,3.5365,75.107,0,0,-40.5,5.201,9.071,0.1425,1.111,1.3325
4,23.25,0.787,0.183,-5.782,388.925,89.794,3.381,75.6,0,0,-41,4.666,8.9405,0.117,1.002,1.302
