DOY2,HR2,TA,RH,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,PPFD_IN,PPFD_OUT,WS,TS_1,TS_2,G_1,G_2
4,9.75,7.2203,63.579,551.915,64.5305,351.24165,446.4922,359.26105,1296.05,99.861,3.8829,-0.12405,-0.0643735,35.847,25.031
4,10.25,7.8257,60.149,610.57,69.8525,358.6352,450.47805,427.15445,1399.6,110.87,4.1263,-0.129545,-0.041491,46.23,37.3555
4,10.75,8.2517,57.511,665.755,74.7075,366.53455,458.87815,479.4585,1532.65,118.21,4.0336,-0.12671,-0.016835,55.6275,47.6775
4,11.25,9.04925,56.985,711.6,80.3115,370.6926,458.8511,479.683,1627.35,124.345,4.1625,-0.11903,0.0870805,59.1845,52.2885
4,11.75,9.23875,54.6315,736.38,82.108,373.9033,460.90885,526.198,1682.1,129.16,4.3237,-0.106444,0.18724,58.1725,59.3615
4,12.25,9.49365,54.0875,698.675,82.2215,375.16025,462.56355,502.3435,1620.2,121.485,3.9467,-0.101701,0.38343,58.2975,65.0995
4,12.75,9.5345,52.238,738.405,80.4975,374.9681,469.7989,539.38385,1694.05,113.76,4.3103,-0.062986,0.610155,58.5625,62.8265
4,13.25,10.26275,49.874,715.445,71.614,376.13455,470.0122,511.1295,1609.8,104.905,4.1082,-0.030912,0.78039,54.488,55.246
4,13.75,10.242,49.1585,704.11,79.573,376.4777,473.9874,506.503,1600.95,109.61,4.1985,-0.008346605,0.89862,51.777,49.6845
4,14.25,10.649,48.5595,624.28,75.3345,375.1731,474.1847,442.48055,1415.65,106,4.0445,-0.004864,0.92491,49.107,45.336
