DOY2,HR2,LE,H,FC,G_1_1_1,G_2_1_1,G_2_1_2,NETRAD,T_SONIC,TA,RH,VPD,PA,USTAR,WS,CO2,H2O,TS_1_1_1,SW_IN,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_3_1_1,TS_3_2_1,TS_3_3_1
2,11.75,13.5985931625,14.4218949025,0.080634841,5.1221385,5.53974275,4.247133605,48.7918125,-12.64824,-12.374905,51.730487625,0.4507822765,65.3266925,0.46607025,5.56739,395.953566025,2.244220813,-7.9707785,442.3787417,-6.77,-6.4885,-5.337,-6.539,-6.36725,-5.22375
2,12.25,13.3490267175,16.111330885,0.00129186,6.010533,5.89523875,4.44787972025,48.141375,-12.4034925,-12.158905,50.127004825,0.455146895,65.314655,0.463050325,5.7528915,395.7434881,2.317708287,-7.74707525,422.4670684,-6.59425,-6.45425,-5.37175,-6.1975,-6.29625,-5.24825
2,12.75,13.99753026,16.4084284,0.152296647,4.27253225,5.97702675,5.02132350725,44.828285,-12.219755,-12.097105,51.564225235,0.4645519695,65.26895,0.47314815,5.477506,396.0441256,2.343487494,-7.515272,397.072783325,-6.39925,-6.40475,-5.3515,-5.96125,-6.19625,-5.2395
2,13.25,13.6206774,17.0835177375,0.20185754625,4.004021,5.74851525,4.72916082025,46.874405,-12.074055,-12.175215,50.258987905,0.4480013305,65.240825,0.4949747,6.180146,395.96664115,2.377138386,-7.258402,354.7749333,-6.2055,-6.33925,-5.362,-5.76025,-6.11,-5.23225
2,13.75,12.86081458,14.4047509275,0.1082543805,2.1922405,3.5708655,4.0366675215,37.373895,-12.06669,-12.188015,49.517832745,0.436399121,65.2116025,0.4962923,6.2059785,395.7809661,2.382609915,-7.16768,317.543472475,-5.94875,-6.2745,-5.34925,-5.5495,-5.9975,-5.20875
2,14.25,12.378226925,12.9839705175,0.04064617475,0.419514125,1.285810475,3.45508459625,29.3731475,-12.0613,-12.189975,50.31120874,0.448627394,65.2027075,0.5031464,5.982955,395.766606925,2.37383663075,-7.0926,258.20481845,-5.7565,-6.18675,-5.31575,-5.382,-5.8775,-5.182
2,14.75,9.319843925,4.96832242025,0.016425777,-0.6863085,-0.5423872,1.595990008,19.3982025,-12.3060775,-12.2109325,48.5386626275,0.430970054,65.22278,0.490454625,5.48476525,395.861181225,2.35207656625,-7.0679005,198.267490725,-5.66875,-6.04175,-5.31375,-5.31,-5.72275,-5.16625
2,15.25,8.32422447075,2.2329966915,0.0692595935,-2.36532825,-1.854211,1.0384728855,7.9110725,-12.28857,-12.27697,47.81705985,0.414695262,65.21672,0.4667137,5.576509,395.7046369,2.391401135,-6.962805,146.3527,-5.5185,-5.928,-5.277,-5.2465,-5.5875,-5.12625
2,15.75,5.49676127,-5.0075855455,0.1108806175,-4.827426,-5.2416925,0.4288093695,-2.422734,-12.454735,-12.4690925,49.6286147825,0.40775398175,65.249135,0.430958475,5.404997,395.7050489,2.339569082,-6.95047625,99.9322741725,-5.458,-5.78525,-5.26775,-5.166,-5.47075,-5.1095
2,16.25,3.097379819,-9.65759991075,-6.61625e-05,-10.484565,-11.27778,-0.99911259525,-18.07113,-12.5301725,-12.73075,50.9544939275,0.384590603,65.262685,0.453413525,5.33979475,395.5292871,2.314210833,-6.8957865,59.27429742,-5.41225,-5.6755,-5.24575,-5.10025,-5.35025,-5.072
2,16.75,1.708556942,-23.72606979,-0.0839998655,-16.5294475,-17.83245,-2.841476363,-49.97433,-12.57484,-12.85687,52.5930871,0.374547318,65.2730675,0.417302,5.006698,395.511765425,2.3154602755,-6.994809,22.52439667,-5.40275,-5.57575,-5.237,-5.063,-5.2315,-5.06425
2,17.25,0.62968726075,-34.14336214,-0.27171059625,-21.543405,-23.151505,-4.30787891825,-66.8691925,-12.786375,-13.1822,51.3490856175,0.342670001,65.30698,0.425066875,4.8358965,395.63601315,2.2704626435,-6.91558625,5.5349670835,-5.37825,-5.524,-5.1645,-5.05875,-5.18075,-5.01275
2,17.75,0.00752672425,-43.75610149,-0.28363624975,-24.261895,-27.07523,-5.79364451625,-76.7597,-12.9824975,-13.3577,51.655738175,0.328627054,65.32785,0.4048897,5.27710175,395.464402325,2.25971356425,-7.02665925,0.197479279,-5.39575,-5.48825,-5.134,-5.08625,-5.17525,-4.9775
2,18.25,0.58463211175,-48.5183916,-0.308103229,-25.186515,-27.04737,-6.56382340025,-78.5958,-12.8255875,-13.31585,53.52883846,0.307666218,65.330545,0.435713675,5.17096475,395.44913855,2.244229581,-7.2407225,0.0011678335,-5.44425,-5.46425,-5.10025,-5.20825,-5.172,-4.911
