DOY2,HR2,FC,LE,H,G_1_1_1,G_2_1_1,G_3_1_1,CO2,H2O,PA,T_SONIC,T_SONIC_SIGMA,TA_1_1_1,TA_1_1_2,TA_1_1_3,RH,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,WS
9,15.75,0.64455265,34.5719825,177.926115,28.6286,11.49973,5.9894325,407.512975,11.024788305,90.1275,26.999375,0.5247173035,27.672595,26.04825,25.976,41.2825,890.46675,452.975,57.66675,359.06667,478.2,268.75,28.51,27.1,23.05,18.31,17.13,16.31,0.78,1.74161,1.62,0.9400125,3.91
9,16.25,0.67,30.49,128.67,23.19415,7.175,5.989285,407.625,11.0174402225,90.13,26.669292605,0.43641148,26.9236225,25.8517475,25.59,43.316,726.698335,365.2375,47.5714975,356.86667,468.915,193.561665,27.62,26.36,22.9925,18.52,17.235,16.33,0.77433,1.6994608295,1.5991425,0.9373675,3.83
9,16.75,0.67,22.105,80.833,10.9,-4.425,5.9894,407.8236775,11.0933842675,90.12,26.09028,0.35064,25.9165975,25.4125025,24.9533,44.38175,536.75,269.3775,39.03,353.365,462.192475,115.5410025,26.425,25.57,22.92,18.7775,17.2225,16.36,0.717988706,1.61,1.48312,0.8713773135,3.69
9,17.25,0.898625,15.8965,30.6455,-2.1,-10.2,5.72625,408.20489,11.4097524425,90.122,25.3247,0.30994,24.470185,24.81925,24.325,47.08333,347.15,174.6,31.765,349.77,452.13,36.991,25.2775,24.905,22.75,19.03,17.315,16.43,0.6749,1.5,1.38692,0.81204,3.455
9,17.75,1.326175,9.096,1.94,-10.8,-13.82955,5,410.0406125,11.6040075,90.12854,24.5002,0.34958,23.0329525,23.97,23.520825,51.29333,173.798,88.59,22.5775,346.83333,441.0667,-25.87,24.0475,23.8925,22.47,19.2,17.345,16.475,0.6299225,1.42093,1.216235,0.7729,3.3071056075
9,18.25,1.87,4.4688,-11.85,-15.87776,-16.3,4.6859775,411.3379775,11.6496775,90.132,23.4025,0.430685,21.8093125,22.927475,22.3915,55.00667,53.578,23.28,6.98675,345.23,430.47,-58.165,22.61,22.95,22.0475,19.285,17.3575,16.47,0.5922425,1.3187325,1.15,0.71931010425,3.1
9,18.75,2.19,3.8625,-11.160295,-19.200775,-18.2407,3.997275,414.03376,11.87806,90.138,22.145435,0.604113901,20.5752275,21.315,20.84,59.1641675,7.209825,0,0,345.425025,420.95,-61.125,21.11,21.9225,21.605,19.34,17.33,16.42,0.5610720035,1.31,1.09,0.68419,2.966362449
9,19.25,2.1405,2.449205,-11.565,-21.001275,-19.8795,3.315615,417.4731575,11.81257,90.177,20.923981575,0.65216,19.7978325,20.0175,19.766,61.4983325,0,0,0,345.158335,411.3941675,-56.97225,19.805,20.885,21.25,19.44,17.34,16.42,0.56132,1.27125,1.09,0.6839,2.98
9,19.75,2.52,2.31087,-9.505,-22.298515,-20.43686,2.99893,420.9085,11.9683949375,90.193,19.73,0.7352215515,18.82931,18.9716675,18.3055,63.2225,0,0,0,341.705825,405.9925,-55.759175,18.435,19.885,20.795,19.44,17.37,16.39,0.5347,1.2331364765,1.06245,0.653175,2.881173519
9,20.25,2.2265,2.0825,-5.9266,-22.574925,-20.319125,2.765925,424.66432635,11.904895,90.19625,18.97221,0.7495338535,17.652675,17.9685,17.7265,64.87,0,0,0,338.76667,401.4333,-53.94333,17.75,19.095,20.36,19.41,17.35,16.36,0.4991,1.197275,1.03,0.616855,2.750291997
9,20.75,2.405,1.33799,-3.4052,-22.453815,-20.4963625,2,428.6595725,11.8382148675,90.205,18.0892135325,0.7528425,16.5743425,17.08075,16.775,66.28,0,0,0,335.63333,396.699,-53.4733,17.005,18.41,19.9575,19.3625,17.355,16.32,0.45201,1.0838625,0.95961,0.5698925,2.525729185
9,21.25,2.36431615,1.6541225,-2.324758731,-22.543135,-20.71199,1.9992,433.6963275,11.76795118,90.2085,17.3288525,0.75985329025,15.89697,16.199,16.1465,67.291,0,0,0,333.2667,392.2,-52.68333,16.375,17.8675,19.565,19.28,17.4,16.345,0.4095,0.99,0.96,0.500803265,2.2843275
9,21.75,2.51,1.562195,-1.21422,-22.835975,-20.5,1.2,439.31659,11.7,90.21975,16.47,0.774179673,15.2996075,15.58583,15.33,68.2855,0,0,0,333.0425025,388.2175,-51.1058325,15.7125,17.35,19.225,19.185,17.3575,16.33,0.3642225,0.9375,0.85365,0.460065,2.0472031945
9,22.25,2.31875,1.4485225,-0.881095,-22.6,-20.8,1,441.250201075,11.564054235,90.226,15.86787,0.75616,14.4316575,14.8975,14.67,70.7525,0,0,0,330.8,384.6,-47.475,15.164,16.82,18.89,19.13,17.335,16.32,0.31,0.84243,0.78211,0.406595642,1.775
9,22.75,2.26,1.60671670075,-0.01,-23.03963,-21.01465,0.89996,446.7266775,11.4,90.2310675,15.06223,0.73,13.6864025,14.041665,14,72.23667,0,0,0,327.1,380.36667,-46.6,14.55,16.21,18.58,19.035,17.31,16.315,0.253,0.72,0.7426,0.30396,1.5722866365
9,23.25,2.3899,1.606,0.366169429,-22.47476,-21.276775,0,450.4630225,11.4007525,90.22075,14.4332675,0.717645,13.01448,13.3217,13.58,74.3295,0,0,0,327.85833,378.6475,-45.206675,13.9575,15.65,18.1825,18.9475,17.4125,16.3075,0.23075,0.69480809475,0.6967725,0.2328675,1.49618652075
