DOY2,HR2,TAU,H,LE,FC,WS,USTAR,T_SONIC,TA,PA,RH,VPD,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,CO2_SIGMA,H2O_SIGMA,PPFD_IN
1,12.25,-0.145921,110.7315,296.764,-13.81965,3.928445,0.3522625,26.32275,24.39665,100.2175,69.3174,12.43435,390.2065,16.9735,1.208075,1.09482,0.446055,0.6484615,0.0024,0.8273,1959
1,12.75,-0.14861,106.8425,311.109,-15.02475,3.775945,0.3602825,26.90895,25.1526,100.2015,66.72675,13.0096,390.4395,17.1676,1.22469,1.138195,0.446285,0.6482935,0.0025,0.8299,1987
1,13.25,-0.149109,105.4275,320.063,-14.2685,3.7387,0.356864,27.27825,25.6655,100.2,65.67635,13.7608,390.0715,16.8676,1.23937,1.20655,0.4397495,0.6512945,0.0027,0.9718,2018
1,13.75,-0.1542,108.6775,343.854,-13.0933,3.939425,0.36395,27.6681,25.8533,100.165,64.5858,14.1608,389.8265,16.6239,1.25385,1.19581,0.4408805,0.623097,0.0025,0.9527,2015
1,14.25,-0.1615,98.686,336.315,-12.975,3.79597,0.373481,28.0385,26.1567,100.1385,62.36085,14.7804,389.8285,16.4278,1.25171,1.1792,0.449169,0.605678,0.00235,0.9766,1994
1,14.75,-0.1561645,89.03395,315.576,-12.2634,3.95701,0.3702845,28.1203,26.40195,100.121,59.5185,15.702,390.017,15.7829,1.263115,1.17416,0.4454445,0.5656465,0.0023,0.8795,1916
1,15.25,-0.135172,81.5037,290.401,-10.86025,3.99565,0.343404,28.2898,26.7401,100.1,59.537,16.5525,389.1955,15.5495,1.17736,1.1434,0.4427865,0.53105,0.0024,0.9185,1818
1,15.75,-0.150798,72.9989,272.313,-9.303,3.90948,0.3577845,28.507,26.8772,100.0985,58.3793,16.4971,389.625,15.5841,1.213915,1.13637,0.434359,0.492817,0.0021,0.89685,1712
1,16.25,-0.137883,57.80825,251.8025,-8.2287,3.81079,0.3467695,28.4476,26.79535,100.0595,58.2108,16.9212,389.909,15.7511,1.17518,1.07376,0.4210005,0.4422935,0.0018,0.8283,1563
1,16.75,-0.1299,44.06315,215.9115,-6.46708,3.720725,0.3355,28.3215,26.68085,100.0115,58.9585,16.6805,390.1475,15.9905,1.168285,1.077955,0.4101925,0.404292,0.0019,0.7658,1379
1,17.25,-0.1293,31.0331,199.0045,-5.734695,3.8142,0.334808,28.1629,26.6122,99.9998,58.22775,16.7232,390.4845,15.8871,1.0849,0.9518,0.398472,0.3146,0.0014,0.6982,1200
1,17.75,-0.11355,14.5649,163.1075,-3.6462,3.65168,0.314798,28.4812,26.6494,99.9928,59.08985,16.257,390.952,15.98885,1.0457,0.914,0.3927,0.2752,0.0013,0.7839,1006
1,18.25,-0.103851,0.773382,129.12,-1.2248,3.40625,0.304543,28.19855,26.45605,99.95645,59.1138,15.8266,391.6165,15.6945,0.988532,0.8051965,0.377885,0.22236,9e-04,0.5854,797
1,18.75,-0.0717,-8.76455,82.9156,-0.18835,2.94829,0.263481,27.8017,26.0452,99.9718,62.3574,14.8395,392.195,16.6112,0.85015,0.693176,0.321132,0.220157,7e-04,0.5942,576
1,19.25,-0.0412,-14.3849,41.5055,1.05569,2.5972,0.207679,27.0099,25.4062,99.986,64.8779,13.4457,392.624,17.2325,0.718,0.5393,0.2927,0.290557,0.0017,0.57095,303.6
1,19.75,-0.0155,-11.8368,17.9985,1.8545,2.18367,0.1281,26.0849,24.3652,100,69.95405,10.9963,396.0385,16.4008,0.476501,0.3783,0.186514,0.387037,0.0032,0.3534,194
