DOY2,HR2,FC,FCH4,LE,H,PPFD_IN,TA,TS,RH,VPD,USTAR,WS,V_SIGMA,TAU,T_SONIC,CO2,H2O,U_SIGMA,W_SIGMA,PA,LW_IN,LW_OUT,NETRAD,SW_IN,SW_OUT
11,18.25,2.005912,57.81435,2.054,-15.06535,0,16.8699,18.59,72.023,5.03995,0.111097,1.465112087,0.2096915,-0.0153453,21.4031,411.033,7.53494,0.363633,0.142483,102.227,316.539486203616,270.486467236467,-3.78753496464435,-1.73825037707391,1.8952323838081
11,18.75,1.8988,61.7061,1.44645,-14.3376,0,15.9568,18.41,76.13,4.77212,0.119738,1.539095,0.2336815395,-0.0186085,20.8499,412.933,7.37845,0.384442,0.116784,102.236,314.138915318744,271.542735042735,-3.45831094633678,-1.21536953242836,1.99656671664168
11,19.25,2.1739285,55.815,0.577,-11.661,0,15.9577,18.39,78.643,4.48685,0.11095,1.447026291,0.2064755,-0.0138003,20.7651,412.641,7.42842,0.329076,0.12181,102.279,313.793529971456,271.284188034188,-3.56985233627529,-1.03105580693816,1.87344827586207
11,19.75,2.14631,68.858,1.8885,-13.55985,0,15.7702,18.37,80.267,4.11694,0.1089,1.5300923755,0.2278385,-0.01709695,20.5798,415.203,7.47859,0.365103,0.131866,102.294,314.119885823026,270.036324786325,-3.59233599263717,-1.25069381598793,2.24746626686657
11,20.25,2.279902,67.5311,1.059,-13.6635,0,15.6297,18.29,79.57,4.07923,0.11175,1.433509591,0.223426,-0.01350325,20.3573,415.222,8.00861,0.335296,0.122791,102.311,314.534728829686,269.071937321937,-3.87741935593289,-1.36673453996983,2.01497751124438
11,20.75,2.117779,66.1327,2.197,-14.804,0,15.6323,18.09,78.933,3.73963,0.118929,1.492906658,0.240038,-0.0216071,20.3354,414.659,8.02365,0.375856,0.150322,102.33,317.078020932445,269.861111111111,-3.93188858059659,-1.62242081447964,2.07745127436282
11,21.25,2.272582,75.772,1.1395,-13.656,0,15.71315,17.94,78.364,3.76761,0.11936,1.5137588125,0.200806,-0.01825,19.9743,418.987,7.60662,0.396969,0.141487,102.364,315.074690770695,269.646723646724,-3.62755435517536,-1.46683257918552,2.09507871064468
11,21.75,2.078548,69.041,1.685,-14.723,0,15.32095,17.79,78.146,3.73989,0.127292,1.5487,0.227193,-0.0202866,20.19665,417.5165,7.670185,0.375584,0.1569695,102.368,318.799714557564,269.356125356126,-3.86783544313817,-1.78487933634992,2.3241191904048
11,22.25,2.270325,64.844,2.265,-16.819,0,15.675,17.52,78.871,3.84529,0.1245,1.497711433,0.227047,-0.0230274,20.0467,418.9795,7.19673,0.386004,0.1536605,102.3645,313.670789724072,268.696225071225,-3.9919789935349,-2.0665874811463,1.98779985007496
11,22.75,2.446395,80.1758,1.755,-15.193,0,15.1,17.36,77.6095,4.08751,0.121835,1.480758165,0.219843902,-0.0257473,19.94045,419.5575,7.078,0.3956825,0.1426815,102.3435,316.848239771646,268.60754985755,-3.65352314792827,-1.97806184012066,1.82361694152923
11,23.25,1.99393,63.2078,2.1151,-14.3571,0,14.9574,17.28,78.703,3.789275,0.111,1.500094315,0.215442,-0.0171723,19.842,419.679,6.57011,0.3603035,0.12749,102.328,307.545195052331,263.021723646724,-3.19022796294164,-6.32553544494721,-3.02013868065967
