DOY2,HR2,FC,H,LE,CO2,USTAR,TA,RH,PA,WS,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT
4,1.25,3.5931284945,-3.563741009,0.01167055,406.22,0.118245,22.905,93.3,99.13148231,1.222,-21.045,0,0,427.9,437
4,1.75,2.5131,-2.80155,0.12177,406.755,0.11874,22.8,93.4,99.104195105,1.211,-20.675,0,0,427.6,436.5
4,2.25,3.0142,-2.3862,0.036732,407.72,0.107345,22.75,93.5,99.08032292,1.144,-18.98,0,0,427.7,435.9
4,2.75,3.168350078,-2.4592157965,0.061908,411.7035315,0.1163,22.685,93.6,99.0625,1.13,-18.445,0,0,428.4,435.8
4,3.25,2.8585274205,-2.2481,0.150105887,413.91,0.11988,22.59,93.7,99.0665,1.155,-18.21,0,0,428.2,435.6
4,3.75,3.02,-1.90755,0.094361,414.55,0.121801,22.63,93.75,99.061,1.174,-19.195,0,0,428.3,435.3
4,4.25,2.9203,-1.8891,-0.1477525645,419.66,0.113795,22.56,93.8,99.077,1.203,-20.15,0,0,428,434.8
4,4.75,3.3067,-1.9352441505,0.20921,419.96,0.10769,22.49,93.9,99.101,1.218,-19.36,0,0,428.1,434.5
4,5.25,3.75245,-1.51255,0.550691098,425.43,0.11114,22.47,93.9,99.11163195,1.151,-17.995,0,0.689,427.9,434.3
4,5.75,3.8506,-2.1081,0.02356,427.27,0.12674,22.46,94,99.14540437,1.182,-17.12,0.386,1.105,427.7,434.2
4,6.25,3.8546,-2.398010767,1.872957104,426.8512927,0.121083774,22.42,94,99.173,1.197,-5.4395,17.62,4.013,427.7,434.4
4,6.75,6.8276523145,-0.539267229,9.505843091,428.9470976,0.151504459,22.515,94,99.204781395,1.118,25.37,62.71,9.92,429.5,436.2
4,7.25,4.0895,4.9903,46.318,426.28130935,0.19938,22.775,93.8,99.249,1.095,71.645,127.2,17.3,431.5,439
4,7.75,2.4685395925,15.625,84.29,420.6190801,0.26074,23.215,93.3,99.293,1.191,119.8,197.4,25,433.2,442.4
4,8.25,-3.8999,29.7195,140.285,407.47,0.297137308,23.735,91.5,99.326,1.384,161.9,289.2,35.82,433.1,447.7
4,8.75,-8.739217292,53.488,182.8633564,399.155,0.3411435675,24.42,88.5,99.350013105,1.4925,245.15,372.6,42.19,431.2,453.3
4,9.25,-12.183,61.7885,233.6907888,392.86019465,0.37236,25.27,84.5,99.37019675,1.707,314.45,434.9,48.37,432.1,458.7
