DOY2,HR2,FC,H,LE,TAU,TA,RH,NETRAD,SW_IN,SW_OUT,PPFD_IN,WS,USTAR,PA,G,TS_1_1_1
3,19.75,-1.9575,-62.2,-4.0075,-0.4668,-6.72,32.66,-66.3875,0,0,0,0.26425,0.04925,95.11,-42,1.9225
3,20.25,-0.2,-58.55,-4.11,-0.438,-6.665,34.3025,-66.61,0,0,0,0.45925,0.04,95.14,-42.1625,1.9225
3,20.75,-0.4375,-63.605,-7.9375,-0.4236,-6.71,36.1175,-66.465,0,0,0,0.704,0.0495,95.09475,-43.1425,1.9225
3,21.25,-1.4125,-66.2,-5.28,-0.4224,-7.0325,36.9125,-65.7525,0,0,0,0.4535,0.04,95.16125,-43.48,1.9225
3,21.75,-1.67,-61.3325,-10.4625,-0.3966,-7.365,37.4375,-66.55,0,0,0,0.441,0.04,95.18125,-44.0375,1.9225
3,22.25,-1.2625,-61.44,-5.345,-0.375,-7.775,36.2625,-67.275,0,0,0,0.447,0.04,95.1215,-43.93,1.9225
3,22.75,-2.01,-65.435,-5.1175,-0.4815,-7.93,38.075,-66.1175,0,0,0,0.687,0.05,95.0695,-44.82,1.9225
3,23.25,-1.4025,-64.43,-4.725,-0.5142,-7.9525,38.64,-65.75,0,0,0,0.69,0.04,95.035,-42.8675,1.9225
3,23.75,-1.59,-66.275,-5.75,-0.4947,-8.1975,37.4075,-64.8975,0,0,0,0.547,0.0685,95.027,-43.295,1.9225
4,0.25,-0.92,-68.3925,-8.005,-0.3861,-0.0775,49.65,-63.0325,0,0,0,0.5945,0.06975,95.44125,-52.1025,7.845
4,0.75,-0.33,-67.9,-7.9525,-0.375,-0.365,50.7225,-63.3325,0,0,0,0.646,0.06,95.40675,-52.335,7.645
4,1.25,-0.595,-76.76,-7.3575,-0.4284,-0.64,51.845,-64.33,0,0,0,0.663,0.04,95.37675,-50.48,7.545
4,1.75,-1.46,-71.2,-8.985,-0.4023,-1.085,53.07,-64.1375,0,0,0,0.683,0.06,95.34675,-50.16,7.4225
4,2.25,-1.425,-73.69,-9.95,-0.3963,-1.085,53.5,-63.5975,0,0,0,0.756,0.05,95.31125,-48.9075,7.3
4,2.75,-0.475,-81.2,-11.18,-0.3972,-0.7875,54.0225,-62.0875,0,0,0,0.749,0.06,95.298,-49.6,7.2
