DOY2,HR2,FC,LE,H,SW_IN,TA,TS_1_1_1,RH,USTAR,PA,SW_OUT,NETRAD,PPFD_IN,PPFD_OUT,TS_2_1_1,WS,SG_1_1_A,SG_2_1_A,G_1_1_1,G_1_1_2,G_2_1_1,G_2_1_2,CO2,TS_1,TS_2
2,6.75,1.748622063525,18.59885,22.563195,0.263,-2.5359,-2.827,93.8025,0.4608831788,92.03,0.626,3.4508,0.5360668,0.506381074999999,-3.3326,9.42274999999999,-0.713725000000002,-0.473012500000001,0.35215,-0.555349999999999,-0.653699999999999,-0.540799999999999,455.5625,-11.916,-11.45075
2,7.25,2.173530816625,13.367,24.71705,0.321975,-2.7907,-2.8446,92.505,0.465566,92.03,0.73115,3.5413,0.550473649999998,0.533432574999999,-3.315,9.6,-0.689350000000001,-0.472600000000001,0.3551,-0.550099999999999,-0.644399999999999,-0.54165,445.8425,-11.95375,-11.561
2,7.75,3.21336,16.5552,22.959525,0.6867,-2.45945,-2.8578,92.405,0.435314,92.03,1.30555,4.00529999999999,1.593074,1.67023324999999,-3.3814,9.29,-0.6693125,-0.472925000000001,0.35205,-0.551149999999999,-0.617649999999999,-0.537774999999999,424.43,-11.95675,-11.67725
2,8.25,2.42201625,18.434875,27.83419735875,4.80649999999999,-1.8294,-2.7916,90.205,0.460189223174999,92.03,5.02185,7.402525,10.78941,11.80218,-3.302,8.8,-0.656750000000001,-0.473275000000001,0.35015,-0.59695,-0.582849999999999,-0.542024999999999,430.35,-12.016,-11.703
2,8.75,3.27786294879999,21.129313542,24.16025,15.044,-1.8458,-2.7736,90.455,0.4702811764,92.1,14.151,5.73279999999999,36.0733375,34.952725,-3.2736,8.87,-0.646325000000002,-0.474100000000001,0.352,-0.610549999999999,-0.57495,-0.54655,432.9725,-12.0315,-11.67225
2,9.25,2.45970444375,20.95275,20.211935,46.0525,-2.69945,-2.769,89.805,0.417967355825,92.1,35.1245,6.72029999999999,78.70338,80.7780249999999,-3.1638,8.84,-0.69865,-0.522512500000001,0.35015,-0.608499999999999,-0.704699999999998,-0.5662,446.77,-12.0275,-11.53775
2,9.75,2.721468319325,18.5852,20.42876,91.895,-2.3423,-2.7898,89.325,0.44871355,92.1,70.889,8.38799999999999,156.421,156.4486,-3.2508,9.34,-0.6958,-0.534612500000001,0.3511,-0.607749999999999,-0.675249999999998,-0.5872,436.0825,-12.03025,-11.56225
2,10.25,2.1488299865,23.2012949999999,14.4227599999999,130.5375,-2.0326,-2.8354,90.2,0.437594942625,92.135,100.09,9.30875,233.754225,225.4936,-3.0398,8.99,-0.684162500000001,-0.538400000000001,0.35015,-0.6041,-0.600874999999998,-0.57745,441.92,-12.055,-11.693
2,10.75,2.11222668182499,21.749875,31.759675,162.39,-2.0138,-2.888,90.11,0.4306125,92.135,125.62,12.6355,300.4925,291.78325,-3.2198,8.97,-0.679837500000001,-0.539812500000001,0.3482,-0.6003,-0.543699999999998,-0.59225,429.98,-12.139,-11.66825
2,11.25,1.600240764125,21.0928,27.06307,192.055,-2.272575,-2.88825,90.2,0.432198525,92.14,148.0175,11.091,354.67,347.412375,-3.292,9.31,-0.681449999999999,-0.5427,0.34805,-0.598300000000001,-0.486950000000002,-0.566725,473.355,-12.19075,-11.74625
2,11.75,1.7855296829,25.73585,23.101742652,218.575,-1.84002500000001,-2.96565,90.2925,0.4720504,92.2,168.8,13.935,398.2916,401.8465,-3.44725000000001,8.96,-0.68675,-0.54925,0.347,-0.596,-0.4205,-0.572,460.1075,-12.22,-11.82625
2,12.25,2.0453297865,20.7135,23.1022600000001,231.4175,-1.6415,-2.999,89.88,0.4465953,92.2,182.47,16.8004999999999,431.433,438.758,-3.5315,8.679,-0.696475000000001,-0.53305,0.348975,-0.578475000000001,-0.417725000000009,-0.543400000000001,434.46,-12.23775,-11.844
2,12.75,1.196195414475,20.3942675,26.0221,241.2875,-1.4571,-2.919025,89.8975,0.4427441526,92.1325,194.9925,13.59125,451.4154,459.89305,-3.4824,8.743,-0.698524999999999,-0.521524999999999,0.346,-0.579275,-0.417600000000008,-0.536275,436.325,-12.2045,-11.85875
2,13.25,1.2158187204,20.1761,21.72259,242.0125,-1.5586,-2.894325,88.7,0.440785905599999,92.2,197.245,11.645,433.38465,463.689,-3.384,9.42625000000001,-0.700225000000001,-0.494600000000001,0.3469,-0.5833,-0.425100000000002,-0.527675,425.74,-12.16725,-11.9185
2,13.75,1.4253859371,17.94350536875,20.40999778,239.685,-1.4023,-2.915325,89.2975,0.41547081425,92.2,196.6375,11.829,446.343,459.77125,-3.5069,8.997,-0.699362499999999,-0.470912499999999,0.346,-0.5794,-0.425500000000002,-0.5171,422.87,-12.1645,-11.79975
