DOY2,HR2,H,SH,LE,SLE,FC,SC,TAU,CO2,CO2_SIGMA,H2O,H2O_SIGMA,U_SIGMA,V_SIGMA,W_SIGMA,WS,USTAR,T_SONIC,T_SONIC_SIGMA,TA,RH,PA,VPD,TS_1_1_1,TS_1_2_1,TS_1_3_1,G_1_1_1,G_1_2_1,SW_IN,SW_OUT,NETRAD,PPFD_IN,PPFD_OUT
7,10.75,209.4907429,1.62554,32.1994,-3.30181,-2.21335,-0.00205,-0.242557,380.219,1.238473596,15.16585341,0.147262419,1.19564,1.16195,0.485362,1.603418244,0.321955,27.63012,0.8557,27.655,21.01,85.4,19.39887684,36.795,38.0175,26,3.457725,61.8178775,796.953125,167.97415,532.3,1744.2,233.4223
7,11.25,216.28825,1.4897,33.1847477925,-2.974785,-2.28238,-0.002575,-0.249219,380.4455,1.29693087275,14.925775,0.14692830325,1.275205,1.233955,0.4917315,1.617584193,0.317482,28.2073725,0.8857275,28.37,19.81,85.4,21.095694425,38.8925,39.42,26.54,5.7444,64.2097175,852.0325,180.5925,553.411975,1880.575,248.8648
7,11.75,227.5275,1.16758,33.4474,-3.169575,-2.2922075,-0.0105,-0.273014,380.96375,1.29796767,14.60448062,0.157096445,1.32351,1.27144,0.511328,1.67864,0.3361575,28.690305,0.8865335,28.9675,18.2175,85.375,23.04167477,40.48,41.3375,27.375,3.250309,65.66,805.825,170.013725,532.6,1807.24,240.943
7,12.25,235.9665,1.06721,31.9187356175,-3.0861225,-2.47455,-0.01105,-0.26638825,381.36025,1.35977683575,14.245975,0.1643418515,1.3734025,1.36889,0.52223125,1.6371575,0.3362595,29.0863,0.91244425,29.495,17.23,85.3,23.7017450575,41.3725,42.4625,28.165,17.27669,58.197555,810.06085,173.225625,521.525,1790.264,242.12075
7,12.75,251.184,1.10998,32.3871,-3.3415425,-2.47118,-0.00729,-0.286609,381.41975,1.3751499225,13.97505,0.1684494805,1.414275,1.337465,0.5254025,1.78502492725,0.344138775,29.63282,0.9149465,29.7875,16.2275,85.3,25.28887065,42.795,43.365,28.995,29.266,57.51597,768.82415,166.51855,489.625,1773.8645,233.3874
7,13.25,232.40525,0.525448,28.6431,-3.34195,-2.55121841775,-0.01525,-0.3073805,381.5045192,1.3618082225,13.8473,0.1603055685,1.44817,1.41022,0.524002,2.0228527935,0.378042025,29.90805,0.9154175,30.135,15.745,85.2,25.9858596475,43.265,44.035,29.755,23.939,60.6283425,712.975,155.691625,436.875,1573.375,214.03
7,13.75,225.62,0.38885825,26.808720395,-2.8903225,-2.56123,-0.034175,-0.3433185,381.482,1.404051524,13.4487555025,0.163292064,1.4325775,1.379435,0.5287465,2.0168675,0.3690545,29.957275,0.92081775,30.3025,15.075,85.2,27.011733115,43.5375,43.9675,30.65,7.111,58.5108675,643.0775,139.070525,392.3711,1458.15,192.063725
7,14.25,209.889547,0.365763,21.4591471475,-2.730585,-2.38102,-0.0324,-0.320451,380.85775,1.37012908125,13.2545,0.160651645,1.448005,1.4556,0.529849,2.1588007535,0.386839175,30.304675,0.8683155,30.71,14.555,85.2,27.9259594375,43.5925,44.18,31.2625,1.42535,47.025505,547.89715,123.2573,298.525,1195.8485,172.05655
7,14.75,179.0785,-0.087625,23.294025,-2.939185,-2.32744,-0.18812325,-0.3442505,380.514,1.3069902625,12.98555,0.1734647745,1.442445,1.40178,0.510072,2.3687822445,0.3782357,30.4217075,0.8189445,30.5625,13.9775,85.1,29.317366955,43.24,42.75,32.0625,-1.6774,35.261,495.13865,111.7465,262.05,1045.225,157.6703
7,15.25,151.396393225,-0.4045235,18.75777869,-2.78317,-1.953675,-0.0818,-0.31777,380.87775,1.1813881575,12.90785,0.1696349985,1.410955,1.322335,0.4888455,2.320805,0.3654225,30.4365025,0.7243835,30.255,13.825,85.1,27.6042975225,42.64,42.53,32.3825,-2.3161955,26.86675,407.6,92.8215,190.525,899.7575,130.303325
