DOY2,HR2,CO2,CO2_SIGMA,H2O,H2O_SIGMA,FC,SC,G,H,LE,PA,RH,T_SONIC,T_SONIC_SIGMA,TA,VPD,TS_1_1_1,TS_1_2_1,TAU,U_SIGMA,USTAR,W_SIGMA,WS
2,19.75,387.15339935,0.6198232185,8.528616813,0.0045842555,0.569280382,-0.268982236,-4.616,-33.98409414,10.569669135,99.1,50.234144545,19.273283145,0.2375138985,14.25141022,7.819360295,13.775,14.245,-0.0669561115,0.609396131,0.233600728,0.297446032,2.1775
2,20.25,388.06436675,0.733346006,8.454702062,0.004298592,0.763432734,-0.269366313,-6.386,-34.42044721,11.33792135,99.1,51.22808149,18.96708482,0.237916757,13.8952963,7.35642802,13.6,14.21,-0.079357416,0.630001124,0.263599782,0.3269022805,2.207
2,20.75,388.54781975,0.767997994,8.649228816,0.0040159215,0.923376461,-0.2795942375,-7.475,-35.267368025,7.957718433,99.1,52.592763545,18.44923786,0.236780196,13.52303074,6.908682805,13.6,14.11,-0.086559407,0.641796941,0.263658329,0.324640912,2.2415
2,21.25,389.3849558,0.767282985,8.731262316,0.0041192185,0.916727155,-0.193248632,-8.165,-32.15201467,6.040643022,99.1,53.52961862,17.83834183,0.2276421945,13.002142095,6.604148445,13.46,14.01,-0.091284832,0.649154705,0.272487953,0.330639506,2.314
2,21.75,389.8675852,0.766058342,8.59609416,0.003622783,1.2375405005,-0.132546152,-9.06,-36.96161914,7.0161593325,99.1,54.729457205,17.60231632,0.21951286,12.522544145,6.313893645,13.37,13.87,-0.112678126,0.6949775455,0.302141772,0.3707208025,2.3345
2,22.25,390.2627749,0.820978103,8.280995601,0.003507379,1.137597502,-0.149308653,-9.84,-32.716027515,4.222360405,99.1,56.298438355,17.18336694,0.220166712,12.131160815,6.014972225,13.27,13.77,-0.121447702,0.716278936,0.315196777,0.392087842,2.3305
2,22.75,390.518266,0.753509496,8.403244025,0.003517459,1.155577812,-0.257567233,-10.22,-33.244712875,5.5664263745,99.1,56.07161235,16.79653036,0.20703539,11.7544729,5.718247365,13.27,13.64,-0.114099464,0.703683017,0.305095001,0.377579677,2.289
2,23.25,390.5957063,0.740295316,8.5120943905,0.003985771,1.044238177,-0.169714055,-10.51,-30.088492335,6.346514281,99.1,56.9,16.32790052,0.199297592,11.43534571,5.435683295,13.095,13.57,-0.1006682945,0.674281412,0.2847,0.3558124345,2.303
2,23.75,391.3694495,0.704397091,8.663069166,0.003229361,1.064321965,-0.1813297955,-10.87,-29.9435958,5.406789731,99.1,58.10172858,16.117757225,0.200784259,11.06655119,5.08166149,13.02,13.49,-0.103665724,0.658727126,0.29017363,0.370502068,2.2255
3,0.25,396.1385634,0.985447586,11.871853395,0.002726826,1.66840452,-0.187726386,-9.41,-27.14660667,3.7803754115,99.1,64,20.475633475,0.210467983,14.870378995,5.87373241,16.12,16.755,-0.106870386,0.685022315,0.293967195,0.361884871,2.2635
3,0.75,396.2983426,0.968420184,12.20783126,0.0023651875,1.61033272,-0.146266962,-9.45,-27.1740841,3.826623845,99.1,65.267632865,20.01418601,0.19589762,14.66173154,5.59967986,16,16.69,-0.100269391,0.664954355,0.28761102,0.366640764,2.215
3,1.25,397.11757575,0.983911841,12.12510454,0.002715227,1.720879296,-0.110340789,-9.84,-27.28238134,3.922570714,99.1,66.03683818,19.5943511,0.200624688,14.34309097,5.200667275,15.82,16.47,-0.100662149,0.673080109,0.286690848,0.366715445,2.173
