DOY2,HR2,USTAR,WS,TA,T_SONIC,RH,SW_IN,SW_OUT,NETRAD,H,LE,FC,TS
5,9.75,0.4075,2.82,31.61,30.41,28.8375,889.3425,222.4875,472.635,261.6475,23.1275,0.365,30.23
5,10.25,0.44,2.795,32.35,31.29,27.065,942.555,235.6625,503.1825,294.0675,23.1725,0.3675,31.305
5,10.75,0.45,2.91,33.1225,31.7725,24.9325,978.4575,244.435,522.925,308.57,25.63,0.3875,32.435
5,11.25,0.44,3.0475,33.6,32.2625,22.9975,1000.7475,249.065,535.7775,328.96,25.3875,0.45,33.575
5,11.75,0.45,3.155,34.02,33.07,21.3025,1011.1225,250.865,536.4675,341.105,25.155,0.37,34.7125
5,12.25,0.48,3.28,34.4175,33.2,20.5125,1003.2925,247.525,530.0425,347.69,26.6275,0.3625,35.8775
5,12.75,0.48,3.3,34.885,33.4775,19.1475,981.2175,241.215,510.785,349.6775,20.5825,0.34,36.995
5,13.25,0.5,3.5575,35.2375,33.97,18.4475,947.4125,231.6875,485.29,349.7525,21.365,0.37,37.9875
5,13.75,0.49,3.66,35.35,34.145,18.3775,893.78,218.71,449.3125,336.4025,20.86,0.38,38.9025
5,14.25,0.48,3.6,35.555,34.185,18.095,824.275,202.9225,401.245,323.3825,19.1,0.34,39.6575
5,14.75,0.48,3.615,35.755,34.3725,18.355,747.605,185.2925,349.1425,298.13,18.455,0.295,40.24
5,15.25,0.48,3.565,36.0525,34.535,19.96,658.14,166.355,289.9075,265.95,17.4525,0.265,40.7225
5,15.75,0.49,3.8875,35.9125,34.4625,18.885,557.03,143.42,224.55,231.1,14.535,0.4175,41.07
5,16.25,0.52,3.9475,35.67,34.44,19.425,454.635,118.525,153.1275,200.69,13.76,0.43,41.275
5,16.75,0.52,4.08,35.225,34.1275,21.505,344.405,92.635,83.7875,160.9125,12.0025,0.5225,41.2625
5,17.25,0.5175,4.0025,34.8275,33.8775,23.075,239.6275,68.4225,18.73,119.295,10.3725,0.5925,41.05
5,17.75,0.53,4.33,34.19,33.535,25.0325,129.815,45.05,-36.29,75.79,9.28,0.69,40.735
5,18.25,0.55,4.48,33.2825,32.95,25.9975,39.205,13.995,-82.58,27.21,5.6375,0.6675,40.2325
5,18.75,0.5475,4.8675,32.2475,32.18,28.5425,-1.17,1.875,-95.75,4.37,3.58,0.73,39.565
5,19.25,0.56,5.275,31.6225,31.4775,29.5525,-5.9025,0.8675,-94.3925,-3.74,4.085,0.93,38.825
