DOY2,HR2,USTAR,TA,WS,H,LE,RH,PA,CO2,H2O,CH4,PPFD_IN,FC,SC,NEE,TS_1_1_1,FCH4
3,15.25,0.73298,14.45025,3.4804,180.4575,70.834,63.4595,99.5480275,404.75,8.3872,2163.4,926.04,1.597,0.067249,1.475,9.5694,27.4035
3,15.75,0.75776,14.59475,3.474925,147.98,61.607,63.228,99.5361225,404.67,8.5411,2163.3,770.315,1.575525,0.099961,1.48065,9.6696,29.6685
3,16.25,0.7472225,15.145,3.422875,130.11,53.882,64.74125,99.5090125,405.0375,8.35825,2158.675,622.1675,1.789025,0.134265,1.8846,9.655075,22.273
3,16.75,0.72586,15.2225,3.1754,97.8385,48.0885,66.03425,99.4706075,404.83,8.4045,2150.275,495.1775,1.89375,0.22203,1.8721,9.7461,20.5
3,17.25,0.66888,15.4775,2.9453,68.4705,44.69875,68.552,99.48027,404.705,8.4131,2145.8,355.66,1.998,0.2507825,1.86795,9.835325,19.587
3,17.75,0.652595,15.282,2.8601,33.105,31.131,68.793,99.4860125,404.76,8.4294,2139.825,175.3675,2.338,0.3406425,2.49875,9.92105,13.9925
3,18.25,0.59221,14.799,2.7885,6.20195,25.195,66.7525,99.4967125,405.935,8.031775,2145.9,59.932,2.76745,0.508445,2.951775,10.014925,10.15665
3,18.75,0.58853,14.283,2.6495,-0.8287825,23.506,70.04125,99.50876,407.095,8.11795,2151.675,5.79075,2.76095,0.93188,3.4958,10.117725,11.42075
3,19.25,0.5446,13.844,2.312,-1.7933,20.503,72.02775,99.52297,409.45,8.256225,2153.675,1.71885,2.6262,1.085875,3.4867,10.2255,7.2797
3,19.75,0.51978,13.601,2.3085,-5.8578,19.168,69.5125,99.54768,412.73,8.4377,2163.2,1.75705,2.7598,1.14645,3.4696,10.29925,13.0575
3,20.25,0.512095,13.182,2.29625,-3.1341,19.361,72.096,99.56439,415.8175,8.506125,2173.3,1.686925,2.8324,1.35125,3.93365,10.3455,11.267
3,20.75,0.53912,13.004,2.40015,-3.3465,21.2885,73.48475,99.56485,418.415,8.31975,2186.1,1.6521,2.657025,1.3604,3.6868,10.3795,13.978
