DOY2,HR2,USTAR,TA_1_1_1,WS,NEE,FC,SC,H,LE,G_1_1_1,TS_1_1_1,TS_1_2_1,RH_1_1_1,PA,CO2,VPD,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,H2O,TAU,FCH4,SH,SLE,SCH4,T_SONIC,CH4
6,17.25,0.59670707,30.5688333325,2.58327,-2.8675,0.46625,0.632904,58.196,159.26,3.669,28.516,28.533,79.891,101.48,411.0678927,19.07,248.24,353.353333325,47.41266667,434.7133333,480.81,32.654625,-0.12420525,6.295,1.46712770925,10.863875,5.265,35.455,1963.85106975
6,17.75,0.560242,30.29125,2.4216475,-1.1255,1.31761,0.75085325,34.9505,116.8615,2.0155,28.572833335,28.602,80.345,101.5,414.3225,18.1782006775,153.795,238.6325,36.2955,434.405,477.625,32.159875,-0.085456816,3.879781,1.46856,12.62705,4.3389065,35.51575,1974.85
6,18.25,0.512052155,29.7465,2.179,0.807,2.82935,1.01905,8.691,90.2655,0.9505,28.659333335,28.627,81.7624999975,101.5,414.2166351,16.2725,65.28125,107.050333325,14.700091665,433.11,474.274166675,31.367604205,-0.0523,4.95953425,-0.04787725,12.2351,7.935,35.564,1985.19624925
6,18.75,0.437,29.2845833325,2.03072,2.7945,4.138995,1.23657,-4.11909438125,60.4031,-0.237,28.716333335,28.683,84.198,101.5,415.1765,14.47,-1.1275,36.3483333325,5.529975,430.826666675,471.019999975,31.9589598825,-0.030732221,6.175,-1.625164598,16.1582,6.77,35.3695,1992.96215925
6,19.25,0.3975505,28.7785000025,1.92206,4.5075,4.5349475,1.459,-6.477,46.8295,-1.7075,28.722,28.64,85.59916667,101.530068,418.777279275,12.99,-21.5445,4.348975,3.126,428.6625,466.985,32.182564785,-0.0168410585,5.327016,-1.5283875,15.3989,7.96023675,35.1745,2000.003373
6,19.75,0.3845286135,28.2860000025,1.806615,5.161,5.026,2.0861,-5.3502607755,41.085425,-3.126,28.704,28.636,87.584833335,101.59,421.6625,12.0925,-23.40075,0,1.6595,426.573333325,463.7291667,32.110925,-0.013952876,4.85,-0.53785735875,14.7190235475,8.045,35.198,2016.4
6,20.25,0.3685,27.9045,1.7782225,4.8625,5.195,1.741,-6.1042525,33.5615,-3.978,28.715,28.65,89.3917500025,101.6,424.0051664,11.056175,-22.958,0,1.874,425.9333333,461.2366667,32.532,-0.018,6.40975575,-0.124965013,11.7451,11.075,35.138,2030.934457
6,20.75,0.353018,27.599,1.697,5.57625,5.7885925,1.8104726885,-6.1207148885,34.8975948925,-4.916,28.74041667,28.621,90.4985,101.6,425.046,10.1299,-28.18575,0,1.86030833325,423.384166675,459.7375,32.52475,-0.01706324775,8.135,0.277411,11.90802247,9.475866,34.972,2048.715
6,21.25,0.3278905,27.4053333325,1.604,5.35825,5.73798,1.867958709,-5.702741687,28.019455975,-5.5775,28.6699999975,28.5917500025,91.35575,101.6005,428.94525,9.431465,-28.8855,0,1.98175,422.73333335,458.660000025,33.0077610725,-0.0173550465,8.9755205,-0.107485,11.4408646025,11,34.848,2064.565
6,21.75,0.3268265,27.2502499975,1.608,6.269,6.372,2.0705,-5.640335,29.265375,-6.10625,28.598916665,28.5355,92.6555833325,101.6605,430.33,9.6978775,-28.046,0,1.995666667,422.1,457.33,32.8886,-0.016075941,6.505,0.91165175,9.25436,11.475,34.72,2082.77
6,22.25,0.312,27.06325,1.5093725,5.899,6.12939,1.807895,-5.31444,25.922225,-6.39075,28.5657499975,28.4725,93.705833335,101.6675,430.93861485,9.39517,-28.58925,0,1.9835,421.4366667,456,33.238,-0.0134,9.0725,0.570359,9.13281,14.25,34.7325,2093.6725
6,22.75,0.305,26.40725,1.5325025,7.12875,6.65467,2.107,-5.548263833,27.691,-6.45325,28.7085,29.0025,92.4675,101.69,432.96110515,10.5109,-28.79825,0,2.06825,423.775,453.08,33.68675,-0.012852234,9.6663035,1.33750482375,9.50640926075,18.325,34.635,2128.215
6,23.25,0.303,26.75775,1.50611684525,6.61175,6.933,2.1650775,-5.90665166225,24.99775,-6.769,28.485,28.3711666675,94.724,101.66,433.44563445,11.2325,-29.2105,0,1.996,420.53,453.891666675,32.81135,-0.0138472435,6.7257635,1.0785375,6.06757,11.7,34.721,2149.49822575
6,23.75,0.3046275,26.6252500025,1.5522075,6.805,6.987085,1.8933438815,-6.5396749055,24.6931,-6.904,28.447,28.3318333325,95.24725,101.64499515,435.3555,12.938625,-30.2455,0,2.03959999975,418.35,453.33166665,32.8545,-0.0151,8.045053,1.272584902,5.11421,14.670573,34.634,2163.5247075
7,0.25,0.222161404,26.76733333,1.293317689,8.42075,6.43,2.4349525,-3.801,17.2096,-7.11,29.379833335,29.242666665,95.5150000025,101.7,429.505466,4.83,-33.17775,0,2.1433,418.27333335,454.42833335,37.6315,-0.0106477005,9.0280495,1.44580306,7.93115,15.9357025,33.8465,2127.17855
7,0.75,0.219429,26.684,1.2745,7.253,6.94373,2.54822,-3.5575,18.22125,-6.376,29.329333335,29.218,95.4075,101.6775,430.9448777,4.77,-28.6,0,2.15,418.324166675,454.09,37.3335,-0.01265,7.74363175,0.58873349775,7.059178137,17.2768155,33.87075,2151.3246675
7,1.25,0.236,26.604,1.322485,8.788,7.367038198,2.841075318,-4.51824,17.75675,-6.879,29.3095,29.189,96.21275,101.6,434.7352485,4.70109,-26.63,0,2.164,417.91,454.09666665,35.299,-0.010195,7.6485645,1.131522174,6.848665,15.891772,33.8005,2166.2307655
7,1.75,0.226,26.573,1.327729249,7.467,6.280885811,2.1866125,-4.399804952,15.6129,-6.7525,29.254,29.1527499975,96.41825,101.6,434.8522438,4.2725,-25.748,0,2.156,417.90916665,453.9825,35.3755,-0.00973625825,6.8893815,1.638477158,5.8394775,20.475,33.7125,2196.474474
