DOY2,HR2,USTAR,WS,TA,T_SONIC,RH,SW_IN,SW_OUT,NETRAD,H,LE,FC
5,23.25,0.16,1.89,1.975,2.12,72.945,-5.085,0.92,-72.69,-4.19,-0.03,0.19
5,23.75,0.15,1.67,2.02,2.085,72.77,-4.975,0.985,-71.425,-4.46,0.525,0.14
6,0.25,0.08,1.995,8.98,9.335,55.49,-5.325,1.25,-76.775,-2.54,0.35,0.07
6,0.75,0.1,1.86,8.94,9.53,54.06,-5.47,1.225,-75.225,-3.375,0.66,0.05
6,1.25,0.08,1.785,8.92,9.45,53.52,-5.405,1.19,-74.76,-2.04,0.14,0.07
6,1.75,0.09,1.835,9.06,9.23,52.14,-5.35,1.21,-73.77,-1.61,0.29,0.06
6,2.25,0.09,1.72,8.715,9.17,51.635,-5.395,1.235,-74.355,-2.45,0.26,0.08
6,2.75,0.09,1.84,8.825,9.22,51.665,-5.285,1.21,-73.76,-2.09,0.18,0.05
6,3.25,0.09,1.89,8.83,9.12,50.715,-5.425,1.255,-75.985,-3.25,0.41,0.095
6,3.75,0.09,1.93,8.755,9.21,48.725,-5.46,1.09,-74.39,-3.355,0.745,0.08
6,4.25,0.09,1.85,8.605,8.985,47.77,-4.92,1.23,-73.65,-4.475,0.33,0.09
6,4.75,0.09,1.92,8.705,8.87,47.065,4.955,4.09,-66.92,-2.865,0.545,0.06
6,5.25,0.1,1.99,8.87,9.13,43.595,69.445,26.26,-23.345,-3.56,2.25,-0.06
6,5.75,0.17,1.8,8.95,9.13,44.415,160.005,38.485,39.105,3.11,13.695,-0.87
6,6.25,0.25,1.29,9.355,9.685,41.805,265.225,47.315,115.805,25.19,33.9,-2.29
6,6.75,0.29,1.41,10.01,10.26,38.57,376.585,54.335,207.715,49.31,55.855,-2.96
6,7.25,0.36,1.395,10.605,10.775,36.95,488.63,69.635,298.285,83.33,75.95,-3.49
6,7.75,0.44,1.53,10.99,11.245,36.055,597.82,92.995,380.33,125.3,87.23,-3.88
6,8.25,0.475,1.91,11.24,11.53,32.725,699.23,113.16,457.61,170.265,95.095,-4.93
6,8.75,0.56,2.115,11.58,11.99,33.37,793.84,140.38,527.695,206.34,116.525,-4.955
6,9.25,0.575,2.27,11.92,12.135,33.555,876.435,154.9,579.24,228.53,113.435,-5.66
6,9.75,0.625,2.4,12.11,12.505,33.65,947.19,179.755,625.485,271.05,114.91,-6.1
6,10.25,0.695,2.5,12.38,12.64,33.875,1006.245,201.02,663.895,276.23,94.54,-5.37
