DOY2,HR2,FC_1_1_1,CO2_1_1_1,H_1_1_1,LE_1_1_1,H2O_1_1_1,H2O_2_1_1,NEE_1_1_1,RH_1_1_1,RH_2_1_1,VPD_2_1_1,VPD_1_1_1,T_SONIC_1_1_1,TAU_1_1_1,USTAR_1_1_1,WS_1_1_1,PA_1_1_1,TA_1_1_1,TA_2_1_1,NETRAD_1_1_1,PPFD_IN_2_1_1,TS_1_1_1,TS_1_2_1
2,12.75,0.269532,399.0335,151.6691,5.371703,3.141859,2.22847,0.1963696,50.0846,53.7,2.10117,3.30128,-0.7846,-0.5257355,0.630245,3.13199,100.5,-2.6365,-2.81,289.255,817.2580192,1.3,1.55
2,13.25,0.339201,398.52095,144.154,5.578869,3.142679,2.27525,0.2409848,51.0054,51.505,2.13653,3.38589,-0.7016,-0.5385123,0.635879,3.1564705,100.4000015,-2.511,-2.646,254.477,725.4,1.3,1.6
2,13.75,0.335054,398.406,113.67905,4.940125,3.27509,2.504765,0.24836728,49.715,51.31,2.184485,3.2244,-0.4731,-0.5024449,0.61336115,3.005071,100.4,-2.131,-2.3585,210.33,644,1.3,1.6
2,14.25,0.288534,398.235,96.7476,4.8482405,3.202654,2.237835,0.20474035,48.181055,49.885,2.1892455,3.576895,-0.36775,-0.5057738,0.6138098,3.131605,100.4,-2.34,-2.217,175.5,554.8,1.3,1.6
2,14.75,0.30714,398.137,66.0645,4.34556,3.2011,2.51179,0.3001069,47.2632,48.65,2.20555,3.58251,-0.22155,-0.50240615,0.613826,3.084138,100.4,-2.229,-2.31,138.65,437.5,1.4,1.6
2,15.25,0.27699,398.187,45.5087,3.37326,3.227234,2.58045,0.267555,48.40435,49.235,2.1635055,3.61366,-0.115,-0.46342925,0.585726,2.982434,100.42,-2.346,-2.401,89.67,327.00446245,1.3,1.6
2,15.75,0.225511,398.347,17.335335,2.24991,3.22256,2.36002,0.267315,47.25065,50.275,2.0872665,3.46992,-0.166,-0.41004415,0.548453,2.9738035,100.48,-2.366,-2.5175,42.1,202.6,1.3,1.6
2,16.25,0.215266,398.342,-6.75268,0.952819,3.27976,2.64265,0.27037,49.63604,51.645,1.97168,3.23484,-0.3702,-0.3285255,0.4981382,2.783334,100.5,-2.784,-2.73,7.03,96.48932723,1.3,1.6
2,16.75,0.225696,397.9695,-20.90913,0.2060856,3.3412,2.82395,0.284861,52.49984,53.3,1.82131,2.93814,-0.6343,-0.22825,0.415103,2.698834,100.5,-3.008,-3.16,-25.73,24.16,1.4,1.6
2,17.25,0.139441,398.2755,-25.157915,-0.02391275,3.3051845,2.810195,0.3324929,54.78,54.945,1.69751,2.7081,-1.019,-0.17848255,0.37127345,2.594127,100.51,-3.288,-3.56,-47.612,0,1.4,1.6
2,17.75,0.2071525,396.869,-25.5228,0.01303397,3.30129,2.780685,0.318432,55.5164,57.015,1.538245,2.34814,-1.456,-0.17006295,0.3584748,2.67905,100.54,-3.635,-3.9,-49.634,0,1.3,1.6
2,18.25,0.228206,398.22935,-22.06966,0.06008565,3.2852,3.02625,0.378726,57.5126,59.82,1.4613195,2.210635,-1.7226,-0.1168189,0.2946519,2.560366,100.595,-4.032,-4.28,-46.372,0,1.3,1.6
2,18.75,0.16844665,398.586,-24.22148,-0.05496895,3.328695,2.84105,0.3683205,59.824,61.665,1.305357,2.01152,-1.894,-0.1246567,0.3012756,2.398596,100.6,-4.205,-4.59,-42.398,0,1.4,1.6
2,19.25,0.2211729,398.7693,-22.9764,0.02487485,3.30704,2.66083,0.392994,61.2819,61.88,1.31234,1.98107,-2.3696,-0.1507746,0.333397,2.512771,100.6,-4.429,-4.68,-44.047,0,1.3,1.6
2,19.75,0.220739,398.728,-21.34165,-0.048565,3.18782,2.71435,0.3586565,61.7379,62.72,1.261414,1.91065,-2.6656,-0.1302296,0.3105997,2.545301,100.595,-4.76,-4.9115,-41.872,0,1.3,1.6
2,20.25,0.200764,398.651,-19.855975,-0.0752103,3.10418,2.77628,0.3153364,62.97239,63.05,1.16768,1.866995,-3.6874,-0.1130131,0.2955419,2.478323,100.6,-5.209,-5.284,-40.78,0,1.3,1.6
2,20.75,0.218239,398.8017,-18.5504,-0.115847,3.13387,2.807005,0.32721475,62.9128,64.425,1.105595,1.77226,-4.03,-0.1299261,0.2764329,2.496855,100.6,-5.355,-5.593,-39.235,0,1.3,1.5
