DOY2,HR2,CO2,H2O,VPD,NETRAD,LW_IN,LW_OUT,SW_IN,SW_OUT,TA_1_1_1,RH,PPFD_IN,PPFD_OUT,LE,H,G_1_1_1,SH,TS_1_1_1,TS_1_2_1,USTAR,PA,WS
3,13.75,378.055,3.696,2.095,332.45,235,299.4,502,80.8,-2.65,53.75,967.94,129.4305,27.9,237.96,-2.5,3,-3.305,-3.235,0.65,94.2,3.43
3,14.25,378.143,3.7795,2.005,323.83,233.55,301,494.8,76.8,-2.1,52.9,951.35,119.135,30.2,238.15,-2.3,2.7,-3.265,-3.21,0.6625,94.2,3.49
3,14.75,378.017,3.893,2.14,293.94,229.85,302.2,457.6,69.845,-1.7,52.7,886.96,107.06,27,209.17,-2.15,1.8,-3.265,-3.185,0.66,94.2,3.455
3,15.25,377.711,3.759,2.07,256.33,232.1,301.85,410.9,62.905,-1.9,52.15,766.205,94.26,25.8,173.84,-2.1,1.6,-3.245,-3.165,0.63,94.2,3.515
3,15.75,377.474,3.716,1.975,203.345,229.85,303.55,344.35,54.225,-1.55,52.25,700.64,83.52,27.65,151.56,-1.95,0.8,-3.235,-3.15,0.64,94.1,3.5
3,16.25,377.3615,3.6355,1.785,172.96,228.7,302.45,316.3,48.03,-1.6,54.7,594,67.2,21.6,126.015,-1.85,0.4,-3.235,-3.155,0.612,94.1,3.28
3,16.75,376.928,3.616,1.725,107.09,228.85,302.3,231,38.365,-1.9,57.55,449.475,55.315,20,90.365,-1.8,-0.3,-3.255,-3.175,0.615,94.1,3.185
3,17.25,376.975,3.661,1.6,51.46,225.9,300.2,153.65,27.145,-2.35,60.4,274.075,39.91,15.4,53.475,-1.7,-1.3,-3.265,-3.19,0.5595,94.1,2.995
3,17.75,376.714,3.799,1.55,24.04,227.7,298.95,103.05,21.585,-2.8,62.45,192.29,29.73,11.1,19.96,-1.75,-1.7,-3.28,-3.19,0.489,94.1,2.75
3,18.25,376.694,3.7015,1.39,-14.98,224.35,297.9,50.3,11.715,-3.2,66.05,94.05,17.145,9.2,1.68,-1.6,-3,-3.285,-3.18,0.4765,94.05,2.655
3,18.75,376.563,3.898,1.14,-51.93,226.55,294.55,16.2955,3.89,-3.6,70.8,32.44,5.865,5.25,-11.27,-1.6,-4.2,-3.285,-3.195,0.399,94.05,2.385
3,19.25,376.385,4.038,0.865,-70.485,225.55,291.45,0.05,1.395,-4.45,75.4,3.565,1.2,2.55,-12.76,-1.55,-5.1,-3.28,-3.21,0.325,94,2.075
3,19.75,375.657,4.045,0.675,-76.36,224.35,289.25,-0.515,0.49,-5.3,79.25,0,0,2.4,-11.23,-1.4,-4,-3.275,-3.22,0.309,94,1.945
3,20.25,375.7715,3.749,0.555,-74.805,219.8,285.2,-0.725,0.315,-5.85,82.65,0,0,1.5,-12.55,-1.4,-3.5,-3.28,-3.235,0.3235,94,2.145
3,20.75,376.1705,3.7805,0.49,-71.745,219.65,284.05,-0.62,0.33,-6.6,83.5,0,0,1.7,-14.98,-1.4,-3.1,-3.29,-3.24,0.33,93.9,2.13
3,21.25,375.871,4.022,0.425,-67.03,219.2,282.8,-0.79,0.385,-7.05,84.85,0,0,1.7,-12.92,-1.8,-3.2,-3.295,-3.245,0.281,93.95,2.085
3,21.75,376.507,4.107,0.395,-66.215,219.3,281.05,-0.735,0.465,-7.4,84.8,0,0,1.45,-15.57,-1.8,-2.2,-3.29,-3.245,0.298,93.9,2.08
3,22.25,376.702,4.1505,0.305,-60.625,222.3,278.85,-0.715,0.445,-8.05,85.55,0,0,1.6,-17.86,-1.8,-1.9,-3.285,-3.24,0.334,93.9,2.125
