DOY2,HR2,CO2,FC,G,H,LE,WS,USTAR,PA,RH,TA,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,T_SONIC,TS_1_1_1,TS_1_2_1,TS_1_3_1,FCH4
2,21.25,443.14575,0.54664875,0.11001175,-0.4653825,2.7837975,1.6605175,0.16548025,102.31,96.90014375,5.82629425,-4.89864,0.02272185,2.1823775,323.2282285,341.786358,6.4617875,7.679525,7.5240875,7.6384125,13.7
2,21.75,444.025,0.60180225,-0.29,-0.363742,3.13538,1.5124575,0.15694,102.3148375,97.1475,6.0936245,-4.85,0.0438414,2.067561,325.03425,341.36175,6.0374916,7.703545,7.5082625,7.6292025,10.6
2,22.25,447.65625,0.55648025,-0.65125,-0.66158,1.9559325,1.571675,0.1519445,102.3469,97.27239475,5.8428575,-3.93206,0.02,2.113874,326.59467325,341.091,6.2244699,7.6573325,7.509905,7.61541,8.59
2,22.75,448.2285,0.52561525,-0.69365155,-0.436726,2.709055,1.4886025,0.1709485,102.36157375,97.6275,5.756335,-3.54369925,0.0079675,2.0125,328.19325,341.41747125,6.347236139,7.660125,7.502595,7.6111325,10.95
2,23.25,455.628,0.43361,-1.06146850025,-0.7521195,2.46231,1.3408525,0.1447625,102.3875,97.59959225,5.592052,-3.6725,0.01978225,1.913441,326.29065725,341.06432375,6.20503,7.62608,7.487,7.6145425,11.3
2,23.75,455.40025,0.49959,-1.33620116675,-0.5162845,1.6246675,1.4670175,0.16426475,102.42410425,97.6825,5.74561725,-3.4459395,0.05,1.95,325.52608125,341.35215,6.05049,7.62842,7.4270025,7.641065,11.4
3,0.25,472.29125,0.57313025,-2.80619166675,-0.93533025,1.80157,1.818385,0.165358,102.24287525,97.352165,7.37091,-9.737455,0.0012295,2.25224,333.136304,348.081,7.719074354,9.87481625,9.56,8.502545,12
3,0.75,468.176,0.570185,-3.2246005,-0.5596445,2.373255,1.7548775,0.169666,102.247482,97.3314515,7.2563075,-9.25276175,0.0115086,2.1949825,329.6829605,347.7495,7.73554797175,9.79238,9.5625,8.5101325,8.86
3,1.25,467.0215,0.607943,-3.38438191675,-1.125475,1.8255025,1.83194,0.1725565,102.25937075,97.546066,7.383744,-7.96,0.037233725,2.1257055,331.31736425,347.2395,7.612,9.74298,9.54668,8.516255,14.425
3,1.75,471.0095,0.56550525,-3.64025208325,-1.4735675,1.94502,1.81892,0.17100975,102.263514,97.32,7.27989,-8.15456,0.01,2.2661005,334.293,347.0125,7.4995791,9.7661925,9.5108475,8.5291175,16.1
3,2.25,471.3485,0.512884,-3.74083325,-1.080035,1.387645,1.892,0.167483,102.27947225,97.526131,7.105,-7.798835,0.01,2.21716525,335.44481725,346.7275,7.3458935,9.7284225,9.529813,8.5376075,8.93
3,2.75,469.3775,0.5579565,-3.677559,0.0073731,1.435605,1.713395,0.15552,102.255854,97.698506,7.1651195,-7.308785,0.01897925,2.142986,332.08508475,345.73175,7.2358194,9.6724325,9.4815925,8.546855,13.825
3,3.25,470.648,0.480757,-3.72474075,-1.0247625,1.54815,1.8294525,0.1676455,102.2642355,97.8075,7.19373,-6.466328,0.02,2.070575,333.55525,345.60346375,7.28984,9.61448775,9.45731275,8.543225,8.2775
3,3.75,472.5675,0.554769,-3.7133335,-0.823526,1.107895,1.78689,0.16583175,102.25483675,97.90151725,6.9951225,-7.1045225,0.02095325,2.08619875,332.1075,345.848,7.2915779,9.56422225,9.40074,8.5387325,13.2
3,4.25,472.7725,0.5102465,-3.8008335,-0.3084145,1.68412,1.7787525,0.165587,102.24680025,98.10453875,6.8251725,-6.89356625,0.01953075,2.07336525,331.7825,345.6012495,7.44763525,9.53071,9.4063925,8.567845,14.3
3,4.75,476.5935,0.57094525,-3.84916675,-0.846386,1.34015,1.85007,0.1783945,102.235866,98.05141625,6.6001625,-6.3925,0.0281355,2.13222125,331.87820775,344.755,7.238026175,9.515645,9.4012,8.5331375,12
3,5.25,474.28425,0.48132,-3.89901325,-1.15359,1.1715375,1.97442,0.17404225,102.26404225,97.9321785,6.50177075,-6.4901625,0.01,2.086105,332.43150675,344.350388,7.098278125,9.479125,9.3671925,8.56163,13.15
3,5.75,475.98625,0.694391,-4.04113500025,-1.121335,1.2745625,1.956505,0.1614205,102.256758,98.19,6.2975,-6.07245,0.192724,2.16242175,331.95766675,343.848,7.1140289,9.40942675,9.3440325,8.5539875,15.975
3,6.25,480.05725,0.475166,-4.09328150025,-0.243386,1.56057,1.75983,0.1654355,102.28451725,97.93,6.57630675,-3.839705,3.045,2.49079325,332.7693355,343.9075,7.1789675,9.35137,9.280266,8.53164,13
