DOY2,HR2,NEE,FC,LE,H,USTAR,SC,CO2_1_1_1,H2O,NETRAD,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,TA,RH,WS,PA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_5_1,G_1_1_1,U_SIGMA,W_SIGMA,V_SIGMA
2,5.25,-0.1475,-0.3055,-1.4785,-20.875,0.12025,-0.028,428.032,3.348,-52.83625,0,-2.218,-0.1015,232.58875,273.5485,-8.8,76.15,1.3805,98.5265,-0.926,-0.43925,-0.47225,1.10625,-10.48275,0.39925,0.17935,0.4078
2,5.75,-0.154,-0.25,-0.815,-18.86625,0.136,-0.0445,428.465,3.408,-47.733,0,-2.11675,-0.168,236.1265,274.9405,-8.6,76,1.3095,98.509,-0.93975,-0.4365,-0.46975,1.107,-10.60875,0.40055,0.18335,0.4334
2,6.25,-0.064,-0.1485,-1.13,-21.53,0.141,-0.0465,428.036,3.572,-44.44575,0,-2.00875,-0.13325,237.13525,273.5775,-8.62,75.58,1.373,98.537,-0.959,-0.43525,-0.467,1.10725,-10.625,0.3944,0.1924,0.40795
2,6.75,-0.043,-0.66775,-0.479,-21.5715,0.15325,-0.055,428.24825,3.4515,-45.7485,0,-1.2995,0.014,238.262,273.3815,-8.7825,76.1875,1.594,98.545,-0.96775,-0.43675,-0.463,1.10625,-10.5275,0.4081,0.204,0.4273
2,7.25,-0.21275,-0.30525,-0.17,-20.291,0.13525,-0.057,428.604,3.6805,-34.58275,0,1.71725,1.22625,236.50275,274.8935,-8.78,76.0525,1.5255,98.63575,-0.99275,-0.43875,-0.46025,1.10525,-10.30875,0.47045,0.223425,0.5469
2,7.75,-0.119,-0.279,-0.368,-17.77275,0.139,-0.03325,428.5375,3.5055,-13.857,22.13,16.85775,6.36675,244.317,279.685,-8.7925,76.0725,1.4995,98.6075,-1.01375,-0.4405,-0.457,1.10375,-9.599,0.4618,0.20045,0.49645
2,8.25,-0.271,-0.50525,0.02525,-17.986,0.1455,-0.0275,428.176,3.59875,-0.25,64.99,37.20275,14.233,239.48825,278.21925,-8.54,75.8675,1.572,98.60275,-1.0275,-0.44225,-0.46225,1.103,-10.001,0.466825,0.213775,0.50995
2,8.75,-0.49775,-0.64075,0.69025,-15.7475,0.1845,-0.0745,429.0375,3.545,12.975,103.1,65.60975,24.96925,234.346,283.9805,-8.395,74.3675,1.8795,98.66975,-1.0295,-0.444,-0.46475,1.1015,-9.78225,0.5595,0.23325,0.57405
2,9.25,-0.672,-0.502,2.1055,-9.7865,0.179,-0.088,428.703,3.6985,19.97875,156.6,85.9865,37.6795,221.3445,284.81425,-7.893,71.8675,2.06275,98.6145,-1.01575,-0.44525,-0.47375,1.102,-8.864,0.6822,0.3041,0.72085
2,9.75,-0.79,-0.6675,5.817,-6.6795,0.202,-0.0875,427.24925,3.83925,33.19425,235.6,129.1135,48.99475,226.50225,283.89575,-7.549,68.5325,2.3995,98.649,-0.98475,-0.44325,-0.48125,1.1065,-8.44825,0.683275,0.3018,0.650075
2,10.25,-0.641,-0.80625,9.89625,-3.4395,0.21,-0.0965,427.31375,3.793,45.4525,290.6,183.2955,57.9555,223.4605,288.66175,-6.79575,66.815,2.49075,98.57925,-0.934,-0.439,-0.48075,1.11175,-7.248,0.6823,0.3077,0.7811
2,10.75,-1.002,-0.988,13.3565,-2.175,0.21525,-0.08,426.3945,3.86375,52.01675,380,166.5655,67.35975,225.23675,294.04075,-6.4085,64.5175,2.73925,98.56675,-0.87525,-0.43125,-0.47125,1.113,-6.4405,0.759025,0.292125,0.78635
2,11.25,-0.892,-0.8575,18.535,-1.0075,0.22875,-0.047,426.8365,3.83675,68.578,445.3,220.86475,86.76,217.8965,296.35425,-5.80975,63.01,2.719,98.5095,-0.798,-0.42225,-0.46425,1.11675,-5.55525,0.81925,0.35625,0.862675
2,11.75,-0.982,-1.01,17.3565,-0.95175,0.217,-0.07425,426.959,3.854,66.79175,490.7,206.15525,86.80575,221.92325,299.1565,-5.609,61.5825,2.841,98.51525,-0.7445,-0.4105,-0.46025,1.11625,-4.81925,0.833025,0.3551,0.9435
