DOY2,HR2,FC,LE,H,FCH4,CO2,H2O,CH4,USTAR,WS,T_SONIC,TA,RH,PA,TS_1_1_1,PPFD_IN,FCH4_1_1_1,FCH4_1_1_2,CH4_1_1_1,CH4_1_1_2,SW_IN,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,SW_OUT,LW_IN,LW_OUT,NETRAD
8,17.75,-1.653693,72.136744,8.013728,82.157,380.333125,19.0855,1983.995,0.1610805,1.0628265,23.7381925,22.68,65.385,96.1240725,16.545,202.3,72.549,80.5215,2037.307,2048.076,145.55,15.855,14.405,14.02,13.76,10.495,7.0795,24.745,381.7233922,429.3396733,62.36
8,18.25,-1.0178675,41.608666,1.2135355,77.4515,382.4025715,19.9338255,2023.02,0.128482,0.76546,22.963237,22.01,70.515,96.118665,16.545,117.65,81.206,80.152,2041.537,2071.433,78.965,15.855,14.4,14.02,13.75,10.49,7.076,17.385,381.4225958,426.69132625,15.725
8,18.75,0.069314,21.912115,-4.709734,74.5235,387.835686,20.302716,2079.88,0.0944675,0.469296,22.0168405,20.94,78.44,96.1136715,16.54,62.74345065,65.677,65.7405,2077.483,2100.371,28.21,15.855,14.4,14.02,13.75,10.495,7.08,5.014,383.0562268,421.94783355,-11.205
8,19.25,0.95265,8.894196,-10.539856,71.9,397.6909405,20.1319,2122.88,0.0821935,0.3330485,20.812978,19.49,86.9,96.1338205,16.54,19.595,60.744,61.33,2112.97575,2150.233,4.306,15.845,14.4,14.02,13.75,10.49,7.0835,1.4805,382.10568385,417.22003055,-33.475
8,19.75,1.976739,6.653821,-8.92927,68.411,409.037109,19.824437,2163.827,0.082547,0.2537575,19.650398,18.26,92.3,96.1443045,16.53,2.46575,63.2135,66.561,2125.41575,2165.505,-1.039,15.84,14.4,14.02,13.75,10.49,7.083,0.66,387.7478342,414.28563495,-37.215
8,20.25,2.100724,3.530828,-11.546224,82.9535,414.4262395,19.4925885,2168.852,0.087641,0.24648,18.874108,17.39,94.65,96.1681505,16.51,0.0392075,65.683,59.0875,2177.35875,2149.3575,-1.777,15.83,14.395,14.02,13.75,10.49,7.0825,0.8505,385.4428513,412.333293,-33.345
8,20.75,2.192276,3.443067,-10.463077,75.64,414.261566,18.56899,2158.265,0.087973,0.256032,18.3298115,16.77,96.35,96.175063,16.52,0,70.003,63.8295,2159.61025,2133.8895,-1.144,15.835,14.395,14.02,13.75,10.49,7.084,1.092,383.61142175,408.0825607,-30.89
8,21.25,2.0331055,4.492457,-13.105367,63.882,411.9519245,18.155543,2195.5425,0.095152,0.286235,17.989453,16.41,96.85,96.187287,16.52,0,63.019,74.008,2171.2995,2148.3245,-0.806,15.835,14.405,14.025,13.75,10.5,7.084,1.3755,382.58525605,407.15309645,-27.03
8,21.75,2.19445,4.642705,-13.477824,71.883,410.40425,17.7848105,2204.322,0.096652,0.279628,17.5170075,16.22,97.4,96.192316,16.53,0,59.798375,75.4675,2180.5895,2177.787,-0.7865,15.835,14.405,14.025,13.75,10.5,7.082,1.3455,385.7085584,405.74546415,-21.4
8,22.25,2.093334,2.056263,-11.83225,75.1005,412.075549,17.547043,2182.82,0.101,0.290069,17.2487275,15.94,97.7,96.211324,16.525,0,56.57775,67.007,2221.71525,2164.894,-0.6585,15.83,14.405,14.025,13.75,10.5,7.083,1.284,383.3932057,402.2159862,-18.015
8,22.75,2.190895,5.0628375,-14.793976,73.112,419.500118,17.605252,2206.547,0.0995,0.261503,16.902472,15.66,98,96.197714,16.53,0,53.357125,65.629,2235.56825,2150.3035,-0.6215,15.83,14.41,14.03,13.75,10.5,7.086,1.213,382.01334345,400.247456,-15.48
8,23.25,1.983435,2.468869,-14.126197,71.9555,427.315,17.7272855,2249.353,0.098914,0.283691,16.6532535,15.32,98.35,96.2004845,16.535,0,50.1365,72.9605,2237.605,2145.332,-0.441,15.835,14.405,14.03,13.755,10.5,7.089,1.353,379.28396405,396.03429465,-14.16
8,23.75,1.9053815,2.601485,-15.898904,66.9785,427.849,17.677811,2229.0905,0.099862,0.31256,16.434369,15,98.35,96.1919605,16.54,0,50.1365,69.297,2197.379,2123.283,-0.531,15.835,14.41,14.03,13.755,10.5,7.0895,1.2555,375.0318473,395.096273,-13.135
