DOY2,HR2,TAU,H,LE,FC,SC,SH,SLE,WS,USTAR,T_SONIC,CO2,H2O,SW_IN,SW_OUT,LW_IN,LW_OUT,TA_1_1_1,TA_1_2_1,TA_1_3_1,RH_1_1_1,RH_1_2_1,TS_1_1_1,TS_1_2_1,VPD,PA
2,9.25,-0.69712511525,-6.978258171925,-3.10561363215,-12.723510401,-2.005127139,-2.249190055375,-4.4788452247,0.85405357265,0.13606449495,13.91819176,362.430780315,9.66433807615,55.63,6.555025,290.33,392.6125,14.18775,14.799,14.5995,61.39025,65.986,16.6275,16.5975,3.51700162685,101.344515355
2,9.75,-0.5052397186,-8.3683601752,0.1098470954,-9.03920575685,-1.2894529973,-2.1218335509,-5.0429625182,0.9057221304,0.1346917308,15.0055939,362.29039845,9.95175476875,74.128,8.63,304.8025,398.1225,15.19,15.674,15.827,57.19675,61.93625,16.509,16.4915,3.43552413145,101.324981605
2,10.25,-0.58011327995,-8.3056631596,0.702745151750001,-9.94789551395,-0.76351028785,-2.843472833,-4.04880297885,0.97488264575,0.14792747605,16.069399,361.5900165,10.2235735209,79.53625,9.86,304.3475,404.9725,16.32225,16.4995,16.2795,52.07225,56.9025,16.459,16.408,3.64174154925,101.32508103
2,10.75,-0.592461843075,-8.3729943829,2.453224089675,-11.69153026425,-0.755040387125,-3.298243263725,-3.624291781825,1.14799453015,0.18921867635,16.46564399,361.3752649025,10.076123562,150.2225,16.19975,304.8125,409.1225,17.0435,17.3335,16.88125,52.173,54.0975,16.52475,16.22675,3.610199631675,101.400599625
2,11.25,-0.616378277125,-10.8085831035,6.73529122460001,-10.8432755455,-0.7869512151,-2.8036447386,-4.27446205,1.07468927575,0.199173766625,16.7139339125,360.7869150375,10.232277173,194.32,21.024,310.9,413.32,17.276,17.728,17.16,50.88,53.104,16.649,16.10075,4.6107821183,101.342572125
2,11.75,-0.707696410625,-9.5458559662,10.1629435071,-13.79881693875,-0.71612157325,-4.672419321125,-4.5894765388,1.20265213275,0.17403460475,17.1447277375,359.9105108375,10.4793016155,172.2175,18.69025,313.8575,416.75,17.58425,18.03725,17.78,49.06,50.774,16.81075,16.07475,3.64599659805,101.3408692
2,12.25,-0.7366225858,-8.49577043625,5.7174753551,-10.817480052,-1.004561269125,-2.96197652175,-5.50047712575,1.107689696,0.1872089396,17.50190246,359.70796292,10.2620805075,141.44,15.953,317.5875,421.8475,18.09475,18.57025,18.217,46.98625,49.9415,16.976,16.186,3.404782858625,101.3313861
2,12.75,-0.675667927,-7.71342368005,11.2601476026,-10.09658155975,-0.34642807265,-2.2708118068,-3.2854779218,1.140568610125,0.1768959645,17.7683667375,359.409093775,10.1950007865,220.1325,20.9105,319.1175,422.6325,18.4835,18.93925,18.328,47.9295,49.07875,17.16225,16.32875,3.59112801565,101.298293725
2,13.25,-0.71218320775,-4.10941015855,25.111594737,-10.537527236,-0.25208045205,-3.251140032325,-3.09285068025,1.3151037119,0.19738562665,17.953125675,359.036032685,10.4047752715,208.45,16.992,325.145,432.38,19.12025,19.7095,18.67925,46.3455,48.8985,17.32,16.32375,5.60478447575,101.11889945
2,13.75,-0.65163932575,17.782911379,44.8112087425,-10.186657304125,-0.423462505675,-2.492181574675,-4.165082642675,1.431169191875,0.26608421675,18.67827115,359.8875912,10.49098428625,198.05,17.59425,325.235,432.63,19.12125,19.74575,19.0435,46.513,49.1655,17.49225,16.35125,6.17167565075,101.2386128625
