DOY2,HR2,FC,LE,H,SW_IN,TA,RH,USTAR,CO2_1_1_1,CO2_1_2_1,CO2_1_3_1,CO2_1_4_1,CO2_1_5_1,CO2_1_6_1,PA,SW_OUT,LW_IN,LW_OUT,NETRAD,PPFD_IN,WS
3,7.25,2.849,1.782,-8.607,66.07,22.6075,95.1,0.1295,401.0295,402.61025,402.33325,407.18975,412.4525,419.0335,99.47325,8.07,418.292,437.2645,39.55525,153.7,1.20475
3,7.75,-0.21575,16.0825,-3.83175,112.76,22.91,93.17525,0.18,396.95325,396.98825,396.485,399.825,406.9175,417.2925,99.518,13.56,421.044,439.854,80.2535,256.3695,1.14225
3,8.25,-6.589,41.555,1.584,152.08,23.295,90,0.219,393.7305,392.325,391.14,394.204,402.77725,414.3,99.544,18.71,424.7875,443.8465,118.5145,347.25,1.27575
3,8.75,-12.471,64.36,10.495,215.2,23.69925,86.6,0.2415,388.7,387.5,385.9,388.119,395.375,411.425,99.569,27.469,428.0125,447.4895,166.8045,501.45,1.416
3,9.25,-17.3995,113.9,17.716,260.2,24.205,83.6,0.271,382.925,380.737,379.04725,381.22325,387.92,408.3605,99.574,32.86,431.1585,450.9025,210.6,577.98125,1.542
3,9.75,-21.027,132.405,32.71975,294.6,24.6375,80,0.31875,378.475,375.959,373.6,375.832,383.6045,404.756,99.586,38.05,435.77,455.565,249.25,737.66,1.7
3,10.25,-23.723,170.3,41.13,351.3,24.98,77.1,0.321,374.30775,373.64925,371.92175,372.51725,378.936,402.99125,99.587,43.56,437.88,457.599,304.11,805.75,1.85
3,10.75,-23.885,182.27,41.528,375.6725,25.37,74.625,0.35475,372.54825,371.12275,369.8115,370.84225,375.66025,397.3185,99.56875,46.6275,441.195,459.6825,318.5635,883.36,1.894
3,11.25,-25.73675,188.7375,43.5705,387.475,25.57,73.3525,0.3415,371.1355,370.05,368.35,369.062,373.3825,395.6,99.55425,46.115,442.91925,462.45,326.77,918.689,1.954
3,11.75,-25.32,185.1825,41.9775,404.7,25.733,71.2475,0.335,369.729,368.618,367.3285,367.99,372.3755,396.472,99.52125,49.2875,444.0565,463.1915,357.098,959.2815,2.0075
3,12.25,-24.497,190.0125,38.05,393.475,25.72,69.925,0.33025,367.9665,367.0785,365.989,365.924,371.25,394.2125,99.4805,46.9925,444.16125,463.151,346.4985,853.243,2.0635
3,12.75,-24.09525,173.23,30.246,354.02,25.75,69.5725,0.355,367.0935,366.195,365.5,365.924,370.8635,394.6135,99.43425,40.84,443.911,463.835,309.5375,783.69,1.96725
3,13.25,-24.1,140.9675,25.88,329.6,25.62,68.9075,0.32,367.0495,365.504,364.8425,365.147,369.4955,391.641,99.393,38.5,442.14,463.39,294.324,710,1.9355
3,13.75,-22.01725,129.77,19.19,295.225,25.43,68.335,0.29625,365.52625,364.9165,364.6985,364.705,369.504,390.8755,99.3175,34.15275,439.9555,461.625,257.7255,644.897,1.9215
3,14.25,-20.4855,123.975,8.52325,245.275,25.33,68.16,0.26475,365.228,364.675,364.09925,364.15475,369.4385,389.84575,99.2685,27.24,438.61,458.144,205.71275,520.1945,1.7575
3,14.75,-18.7375,96.86875,4.982,207.9,25.19,69.646,0.271,365.55925,364.48225,363.7495,363.5655,368.167,391.625,99.212,24.045,435.252,456.29725,165.47925,432.65,1.7235
3,15.25,-16.88425,82.874,-0.031,150.63,24.9,70.295,0.24075,365.15375,364.875,363.519,363.256,366.70575,392.2,99.18975,16.9385,432.0265,454.82525,115.88575,344.949,1.6885
3,15.75,-13.7725,53.085,-3.183,118.225,24.76,71.925,0.2125,365.242,364.075,363.82475,364.3815,367.21525,392.85,99.166,13.14,428.9775,451.78275,88.5205,268.203,1.6425
3,16.25,-10.9205,40.213,-4.94,97.175,24.65,74.35,0.196,366.3285,365.1295,364.3,364.7,370.289,393.5975,99.136,10.065,424.59825,450.5465,62.9075,200.734,1.568
3,16.75,-7.22775,23.689,-6.6015,68.5675,24.514,76.1,0.15275,366.25,365.075,365,365.55,369.436,393.335,99.1265,7.03,420.38,448.7985,33.90675,145.636,1.46
3,17.25,-3.433,4.6885,-10.29,44.41,24.27,78.475,0.134,368.113,366.65,367,367.2485,371.403,394.075,99.1455,4.36625,416.77,446.7815,13.16525,85.233,1.3745
3,17.75,-0.70275,1.0745,-11.0765,18.0625,24.04,81.5,0.1,368.65,368.0445,368.4295,369.56225,373.775,393.599,99.1665,1.176,413.75,444.50975,-13.9035,26.18,1.345
3,18.25,0.04025,-1.20475,-9.601,0.223,23.9,84.05,0.08,371.241,372.6215,374.069,375.95,379.65,395.25,99.1935,-0.5855,410.899,442.11675,-41.635,0.76,1.312
3,18.75,0.03025,-1.9245,-8.68,0,23.8,86.78,0.078,373.18475,375.175,376.875,379.075,384.5,396.4855,99.20575,-0.6,408.83875,441.15925,-41.408,0,1.265
3,19.25,0.1245,-1.03,-8.079,0,23.71,87.435,0.0675,375.075,377.7,380.239,384,389.03,399.1,99.244,-0.4985,407.06725,440.79475,-40.642,0,1.3145
3,19.75,0.134,-1.579,-7.801,0,23.59,88.6,0.0685,378.175,380.3,384.27075,388.475,392.07225,401.625,99.2705,-0.368,406.7525,439.769,-39.93175,0,1.3095
