DOY2,HR2,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,PA,RH,TA,NETRAD,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT
4,13.25,-0.6695,-0.333,-0.776,0.094,101.8474,76.865,-12.63,39.7,967,864.5,468.6,397.6,191.45,248.15
4,13.75,-0.377,-0.111,-0.7205,0.288,101.8387,77.81,-11.78,34.1,973,853,466.9,396.8,194.6,249.1
4,14.25,-0.322,-0.111,-0.754,0.326,101.8322,78.22,-12.11,37.4,931,838,459,387.8,195.9,249.5
4,14.75,-0.322,0.1665,-0.6875,0.396,101.8043,78.7,-11.36,35.2,903,805,442.7,367.8,199.3,249.7
4,15.25,-0.315,0.2055,-0.665,0.435,101.7918,78.6,-11.08,34.9,869,782.6,431.2,359.3,200.4,253.4
4,15.75,-0.302,0.111,-0.665,0.395,101.784,78.25,-10.705,32.65,812,726.6,412.35,337.9,200.15,254.3
4,16.25,-0.228,0.143,-0.6315,0.435,101.7806,79.15,-10.355,30.65,755.8,671.3,384.3,313.95,200.4,254.1
4,16.75,-0.2415,0.2535,-0.554,0.435,101.77435,79.39,-10.405,29.1,685,609.95,356.6,284.85,200.45,253.75
4,17.25,-0.233,0.222,-0.533,0.435,101.777,78.8,-10.62,26,592.2,531.9,318.5,248.1,200.8,252.3
4,17.75,-0.2505,0.2005,-0.444,0.4655,101.79335,79.29,-10.885,21.45,519.05,461.7,278,212.35,198.55,250.8
4,18.25,-0.237,0.2225,-0.444,0.5335,101.79795,79.695,-11.07,16.6,437.25,393.9,215.8,173.25,199.6,249.85
4,18.75,-0.215,0.177,-0.6265,0.435,101.8235,79.98,-11.32,11.2,345.2,304.9,175.5,135.1,199.5,247.2
4,19.25,-0.215,0.081,-0.517,0.435,101.8282,81,-11.73,6.92,275,245.8,136.4,105.8,200.2,244.1
4,19.75,-0.215,-0.001,-0.4545,0.435,101.8361,82,-12.14,0,208.8,186.4,100.7,80.8,205,241.2
4,20.25,-0.211,-0.063,-0.435,0.435,101.8345,82.5,-12.59,-5.71,138.9,125.9,67.48,54.05,205,239.8
4,20.75,-0.171,-0.042,-0.388,0.435,101.839,83.5,-13.88,-19.45,84,82,41.96,33.43,201,237.7
4,21.25,-0.111,0,-0.4205,0.435,101.8479,84.35,-14.655,-21.035,49.115,47.635,19.535,16.05,201.25,236.15
