DOY2,HR2,USTAR_1_1_1,TA_1_1_1,WS_1_1_1,NEE_1_1_1,FC_1_1_1,SC_1_1_1,H_1_1_1,LE_1_1_1,G_1_1_1,TS_1_1_1,RH_1_1_1,PA_1_1_1,CO2_1_1_1,VPD_1_1_1,NETRAD_1_1_1,PPFD_IN_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1
3,7.75,0.437,0.266,1.36925,-0.93325,0.316,-1.85,36.364,9.5275,-7.4755,3.02,53.105,101,394.77675,0.8175,38.39,165.375,75.85,9.59,248.775,316.725
3,8.25,0.47875,1.10475,1.63075,-1.308,-0.032,-1.917,62.314,14.6005,-6.97825,3.12225,48.725,100.9,394.505,1.0375,66.53,268.45,126.825,18.41,251.375,323.125
3,8.75,0.512,1.63775,1.8005,-1.33425,-0.4035,-1.2205,86.7625,22.108,-6.61425,3.3135,45.7225,100.9,394.39825,1.285,93.2,354.575,166.925,23.8125,252.2,328.325
3,9.25,0.51,2.25375,1.90775,-1.353,-0.4175,-1.085,120.92725,21.152,-6.10875,3.541,42.325,100.9,393.86725,1.72,121.725,429.1,203.9,27.5,256.95,335.525
3,9.75,0.5295,2.96575,1.9875,-1.39975,-0.546,-1.01975,148.919,25.40975,-5.2065,3.81525,39.1925,100.9,393.34275,2.225,152.125,502.45,241.5,29.8,259.9,340.5
3,10.25,0.531,3.517,2.02075,-1.203,-0.468,-0.87,173.466,29.17175,-3.92175,4.092,37.05,100.9,392.71075,2.5325,167.225,511.425,250.425,32.425,263.675,346.65
3,10.75,0.5575,3.803,2.031,-1.05575,-0.481,-0.7165,178.635,28.422,-3.065,4.3355,34.43,100.9,392.4205,2.9675,170.25,522.025,253.625,28.545,264.65,348.95
3,11.25,0.57425,4.38,2.04,-1.204,-0.595,-0.696,192.0345,29.578,-1.753,4.474,32.83025,100.8005,391.73325,3.31,180.725,589.25,278.6,34.92,267.675,351.55
3,11.75,0.6055,4.72825,2.15525,-1.2395,-0.754,-0.635,178.19,36.2025,-0.30175,4.64525,31.4175,100.8,391.5595,3.5725,175.1,555.15,265.95,31.7,270.45,353.5
3,12.25,0.59475,5.3725,2.233,-0.942,-0.5715,-0.54025,171.8735,30.728,1.02375,4.7575,30.2525,100.8,391.205,3.7,176.375,594.325,289.725,38,273.45,357.325
3,12.75,0.58,5.6805,2.31825,-0.8075,-0.442,-0.513,163.597,33.30875,1.92475,4.90525,29.4075,100.7,391.3905,3.87,167.725,541.375,263.45,32.021,273.8,358
3,13.25,0.587,5.934,2.278,-0.978,-0.6115,-0.47575,145.42325,29.72425,2.437,4.95,28.4575,100.7,391.239,4.0625,162.65,531.2,252.3,31.9875,276.1,359.375
