DOY2,HR2,USTAR,TA,WS,FC,H,LE,RH,PA,NETRAD,PPFD_IN,SW_IN,PPFD_OUT,SW_OUT,TS_1_1_1,TS_2_1_1,SG_1_1_A,SG_2_1_A,G_1_1_1,G_1_1_2,G_2_1_1,G_2_1_2,CO2
3,1.25,0.08065,-15.595,1.821,0.0257,-3.86061,-0.01807,70.15,89.7,-29.44,0,0,0.4393345,0,-5.159,-3.9335,-5.60125,-4.46475,-4.5395,-5.373,-3.5835,-4.928,403.1
3,1.75,0.0853797085,-15.75,1.9375,0.0274,-4.614589307,-0.0692,70.28,89.7,-28.25,0,0,0.4537755,0,-5.126,-3.888,-5.664,-4.5525,-4.5715,-5.4445,-3.617,-4.9855,403.4
3,2.25,0.0777,-15.47,1.9545,0.0281,-3.480285,-0.03598,70.305,89.6,-28.91,0,0,0.421872,0,-5.1195,-3.9,-5.6845,-4.58575,-4.585,-5.4825,-3.62225,-5.0085,403.1
3,2.75,0.086524787,-15.57,2.024,0.02595,-4.55602,-0.010225,70.6,89.7,-28.875,0,0,0.421793,0,-5.134,-3.91,-5.699,-4.597,-4.613,-5.478,-3.619,-5.036,404.05
3,3.25,0.0787,-15.27,2.042,0.0231,-2.845240118,-0.03155,70.35,89.7,-27.41,0,0,0.450655,0,-5.103,-3.939,-5.6825,-4.61,-4.628,-5.483,-3.621,-5.033,404.3
3,3.75,0.0865,-15.14,2.119,0.02,-3.843075,-0.00164,70.5,89.7,-29.2,0,0,0.426034,0,-5.101,-3.926,-5.694,-4.6135,-4.634,-5.527,-3.625,-5.041,406.05
3,4.25,0.0783,-15.19,1.923,0.024172746,-3.363845,-0.01805,70.1,89.6,-28.15,0,0,0.406867,0,-5.136,-3.923,-5.859,-4.683,-4.756,-5.526,-3.602,-4.962,403.5
3,4.75,0.08414,-15.35,1.917,0.0235,-3.7713,-0.0237,70.25,89.6,-28.55,0,0,0.49782,0,-5.171,-3.954,-5.841,-4.683,-4.757,-5.5,-3.6345,-4.949,405.1
3,5.25,0.073769378,-15.47,1.884,0.02235,-3.5242894605,-0.00518,70.77,89.6,-27.68,0,0,0.490927,0,-5.214,-4.032,-5.806,-4.675,-4.753,-5.504,-3.642,-4.962,406.8
3,5.75,0.0788,-15.07,1.894,0.029,-4.24,-0.014161557,71.01,89.6,-27.29,0,0,0.634639,0.018,-5.243,-4.081,-5.7795,-4.676,-4.759,-5.53,-3.626,-4.964,406.2
3,6.25,0.0749,-15.4,1.831,0.0228,-2.61699,-0.0304,71.11,89.6,-27.11,0.123224,0,0.993497,0.16,-5.279,-4.092,-5.775,-4.6485,-4.756,-5.564,-3.6255,-4.976,405.9
3,6.75,0.08034,-15.53,1.836,0.0247,-3.519721852,-0.0328,71.19,89.6,-27,1.826125,0,2.26261,0.873,-5.333,-4.118,-5.805,-4.6805,-4.775,-5.553,-3.648,-4.988,406
