DOY2,HR2,USTAR,TA,WS,NEE,FC,SC,H,SH,LE,SLE,G,TS_1_1_1,TS_1_2_1,RH,PA,CO2,VPD,NETRAD,PPFD_IN,SW_IN,PPFD_OUT,SW_OUT,LW_IN,LW_OUT,H2O,PPFD_DIF
2,13.75,0.324,4.2875,4.373,0.078,0.092,-0.01,9.439,0.161,25.534,-0.0745,-3.996,0.182,0.695,37.69,76.89,383.12,4.755,161.7,1365.415,706,647.25,348.9,220.2,319.4,3.892,337.014
2,14.25,0.341,4.63,4.475,0.0675,0.0875,-0.009,5.987,0.239,22.115,0.01,-4.014,0.182,0.704,39.71,76.87,383.23,4.885,145.55,1321.95,670.6,620.1,316.7,217.65,319.3,3.8515,341.122
2,14.75,0.34,4.656,4.3995,0.083,0.088,-0.008,2.388,0.118,23.212,0.002,-4.033,0.182,0.714,39.12,76.865,383.064,5.02,127.25,1205.42,616.4,560.95,280.55,216.9,319.55,3.804,292.5255
2,15.25,0.329,4.8365,4.38,0.095,0.101,-0.006,3.405,0.057,23.068,-0.037,-4.034,0.1835,0.709,37.83,76.88,382.972,4.88,94.6,1065.139,530.9,506.55,233.8,217.8,318.1,3.816,275.027
2,15.75,0.306,4.94,4.052,0.099,0.105,-0.004,-0.765,-0.075,16.931,-0.015,-3.886,0.1845,0.715,39.02,76.88,382.5495,4.935,64.46,889.539,448.1,358.8,181.7,216.4,316.4,3.8055,231.391
2,16.25,0.274,4.541,3.804,0.121,0.1285,-0.003,-4.0265,-0.242,14.0975,0.0495,-3.949,0.1865,0.7185,38.69,76.895,382.529,4.875,26.695,680.109,333.95,279.85,126,211.7,314.45,3.89,190.838
2,16.75,0.256,4.37,3.645,0.1435,0.142,0,-3.74,-0.393,8.528,0.033,-3.992,0.1855,0.717,39.31,76.9105,382.639,4.77,-4.759,438.429,225.75,174.4,89.1,209.15,312.25,3.944,145.2275
2,17.25,0.2285,3.597,3.3575,0.136,0.138,0.003,-4.12,-0.566,2.928,0.01,-4.014,0.1855,0.7155,42.01,76.92,382.7335,4.53,-44.43,202.144,108.35,72.315,45.645,207.65,309.7,4.037,99.866
2,17.75,0.194,2.9265,2.8125,0.16,0.1425,0.01,-10.948,-0.889,0.962,-0.0075,-4.0265,0.185,0.7185,44.775,76.915,383.114,4.22,-78.475,58.688,27.255,10.895,14.48,204.4,304.4,4.0735,48.545
2,18.25,0.124,1.8905,2.459,0.1765,0.1645,0.0175,-13.5435,-1.251,0.4985,-0.012,-4.031,0.1855,0.717,49.51,76.915,383.113,3.585,-94.7,2.9875,0.259,0,1.971,205.3,299.65,4.1445,4.215
